pathway	pathway_numeric_id	pathway_name	raw_prefixes_observed
map04140	04140	map04140	ko,map
map04141	04141	map04141	ko,map
map04142	04142	map04142	ko,map
map04144	04144	map04144	ko,map
map04145	04145	map04145	ko,map
map04146	04146	map04146	ko,map
map04150	04150	map04150	ko,map
map04151	04151	map04151	ko,map
map04152	04152	map04152	ko,map
map04210	04210	map04210	ko,map
map04211	04211	map04211	ko,map
map04212	04212	map04212	ko,map
map04213	04213	map04213	ko,map
map04214	04214	map04214	ko,map
map04215	04215	map04215	ko,map
map04216	04216	map04216	ko,map
map04217	04217	map04217	ko,map
map04218	04218	map04218	ko,map
map04260	04260	map04260	ko,map
map04261	04261	map04261	ko,map
map04270	04270	map04270	ko,map
map04310	04310	map04310	ko,map
map04320	04320	map04320	ko,map
map04330	04330	map04330	ko,map
map04340	04340	map04340	ko,map
map04341	04341	map04341	ko,map
map04350	04350	map04350	ko,map
map04360	04360	map04360	ko,map
map04370	04370	map04370	ko,map
map04371	04371	map04371	ko,map
map04380	04380	map04380	ko,map
map04390	04390	map04390	ko,map
map04391	04391	map04391	ko,map
map04392	04392	map04392	ko,map
map04510	04510	map04510	ko,map
map04520	04520	map04520	ko,map
map04530	04530	map04530	ko,map
map04540	04540	map04540	ko,map
map04550	04550	map04550	ko,map
map04611	04611	map04611	ko,map
map04612	04612	map04612	ko,map
map04614	04614	map04614	ko,map
map04620	04620	map04620	ko,map
map04621	04621	map04621	ko,map
map04622	04622	map04622	ko,map
map04623	04623	map04623	ko,map
map04624	04624	map04624	ko,map
map04626	04626	map04626	ko,map
map04630	04630	map04630	ko,map
map04650	04650	map04650	ko,map
map04657	04657	map04657	ko,map
map04658	04658	map04658	ko,map
map04659	04659	map04659	ko,map
map04660	04660	map04660	ko,map
map04662	04662	map04662	ko,map
map04664	04664	map04664	ko,map
map04666	04666	map04666	ko,map
map04668	04668	map04668	ko,map
map04670	04670	map04670	ko,map
map04710	04710	map04710	ko,map
map04711	04711	map04711	ko,map
map04712	04712	map04712	ko,map
map04713	04713	map04713	ko,map
map04714	04714	map04714	ko,map
map04720	04720	map04720	ko,map
map04721	04721	map04721	ko,map
map04722	04722	map04722	ko,map
map04723	04723	map04723	ko,map
map04724	04724	map04724	ko,map
map04725	04725	map04725	ko,map
map04726	04726	map04726	ko,map
map04727	04727	map04727	ko,map
map04728	04728	map04728	ko,map
map04730	04730	map04730	ko,map
map04740	04740	map04740	ko,map
map04742	04742	map04742	ko,map
map04744	04744	map04744	ko,map
map04745	04745	map04745	ko,map
map04750	04750	map04750	ko,map
map04810	04810	map04810	ko,map
map04910	04910	map04910	ko,map
map04911	04911	map04911	ko,map
map04912	04912	map04912	ko,map
map04913	04913	map04913	ko,map
map04914	04914	map04914	ko,map
map04915	04915	map04915	ko,map
map04916	04916	map04916	ko,map
map04917	04917	map04917	ko,map
map04918	04918	map04918	ko,map
map04919	04919	map04919	ko,map
map04920	04920	map04920	ko,map
map04921	04921	map04921	ko,map
map04922	04922	map04922	ko,map
map04923	04923	map04923	ko,map
map04924	04924	map04924	ko,map
map04925	04925	map04925	ko,map
map04926	04926	map04926	ko,map
map04927	04927	map04927	ko,map
map04930	04930	map04930	ko,map
map04931	04931	map04931	ko,map
map04932	04932	map04932	ko,map
map04933	04933	map04933	ko,map
map04934	04934	map04934	ko,map
map04940	04940	map04940	ko,map
map04960	04960	map04960	ko,map
map04961	04961	map04961	ko,map
map04962	04962	map04962	ko,map
map04964	04964	map04964	ko,map
map04966	04966	map04966	ko,map
map04970	04970	map04970	ko,map
map04971	04971	map04971	ko,map
map04972	04972	map04972	ko,map
map04973	04973	map04973	ko,map
map04974	04974	map04974	ko,map
map04975	04975	map04975	ko,map
map04976	04976	map04976	ko,map
map04977	04977	map04977	ko,map
map04978	04978	map04978	ko,map
map04979	04979	map04979	ko,map
map05010	05010	map05010	ko,map
map05012	05012	map05012	ko,map
map05014	05014	map05014	ko,map
map05016	05016	map05016	ko,map
map05020	05020	map05020	ko,map
map05030	05030	map05030	ko,map
map05031	05031	map05031	ko,map
map05032	05032	map05032	ko,map
map05033	05033	map05033	ko,map
map05034	05034	map05034	ko,map
map05100	05100	map05100	ko,map
map05110	05110	map05110	ko,map
map05120	05120	map05120	ko,map
map05130	05130	map05130	ko,map
map05131	05131	map05131	ko,map
map05132	05132	map05132	ko,map
map05133	05133	map05133	ko,map
map05134	05134	map05134	ko,map
map05140	05140	map05140	ko,map
map05142	05142	map05142	ko,map
map05143	05143	map05143	ko,map
map05145	05145	map05145	ko,map
map05146	05146	map05146	ko,map
map05152	05152	map05152	ko,map
map05160	05160	map05160	ko,map
map05161	05161	map05161	ko,map
map05162	05162	map05162	ko,map
map05164	05164	map05164	ko,map
map05165	05165	map05165	ko,map
map05166	05166	map05166	ko,map
map05167	05167	map05167	ko,map
map05168	05168	map05168	ko,map
map05169	05169	map05169	ko,map
map05200	05200	map05200	ko,map
map05202	05202	map05202	ko,map
map05203	05203	map05203	ko,map
map05204	05204	map05204	ko,map
map05205	05205	map05205	ko,map
map05206	05206	map05206	ko,map
map05210	05210	map05210	ko,map
map05211	05211	map05211	ko,map
map05212	05212	map05212	ko,map
map05213	05213	map05213	ko,map
map05214	05214	map05214	ko,map
map05215	05215	map05215	ko,map
map05216	05216	map05216	ko,map
map05217	05217	map05217	ko,map
map05218	05218	map05218	ko,map
map05219	05219	map05219	ko,map
map05220	05220	map05220	ko,map
map05221	05221	map05221	ko,map
map05222	05222	map05222	ko,map
map05223	05223	map05223	ko,map
map05224	05224	map05224	ko,map
map05225	05225	map05225	ko,map
map05226	05226	map05226	ko,map
map05230	05230	map05230	ko,map
map05231	05231	map05231	ko,map
map05322	05322	map05322	ko,map
map05323	05323	map05323	ko,map
map05340	05340	map05340	ko,map
map05410	05410	map05410	ko,map
map05412	05412	map05412	ko,map
map05414	05414	map05414	ko,map
map05416	05416	map05416	ko,map
map05418	05418	map05418	ko,map
