contrast	direction	ontology	ID	Description	GeneRatio	BgRatio	FoldEnrichment	pvalue	p.adjust	Count	comparison_status
interaction_vs_onu	down	BP	GO:0006350	transcription	86/825	164/3113	1.97869918699187	3.3879644047874397e-13	3.4896033369310696e-11	86	rebuilt_only_exact_GO_ID
interaction_vs_onu	down	BP	GO:0006355	regulation of transcription, DNA-dependent	99/825	266/3113	1.40436090225564	3.91847522646188e-05	0.0008072058966511	99	rebuilt_only_exact_GO_ID
interaction_vs_onu	down	BP	GO:0006725	aromatic compound metabolic process	21/825	38/3113	2.08526315789474	0.0001475443377749	0.0021710095415454	21	rebuilt_only_exact_GO_ID
interaction_vs_onu	down	CC	GO:0005634	nucleus	166/483	473/1791	1.30135385342665	3.22862336985532e-06	4.68150388629022e-05	166	rebuilt_only_exact_GO_ID
interaction_vs_onu	down	CC	GO:0005576	extracellular region	7/483	10/1791	2.59565217391304	0.005452942017395	0.0395338296261138	7	rebuilt_only_exact_GO_ID
interaction_vs_onu	down	MF	GO:0003677	DNA binding	118/1166	306/4328	1.43136133813159	2.83084935087003e-06	0.0004340635671334	118	rebuilt_only_exact_GO_ID
interaction_vs_onu	down	MF	GO:0003700	transcription factor activity	92/1166	239/4328	1.42882364339694	4.08987708117456e-05	0.0031355724289004	92	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	BP	GO:0006461	protein complex assembly	17/1063	20/3113	2.48922859830668	3.86432446433554e-06	0.0004869048825062	17	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	BP	GO:0006418	tRNA aminoacylation for protein translation	23/1063	33/3113	2.04107870805895	3.01531430494735e-05	0.0009783916356975	23	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	BP	GO:0016192	vesicle-mediated transport	25/1063	37/3113	1.97871907655539	3.10600519269049e-05	0.0009783916356975	25	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	BP	GO:0044267	cellular protein metabolic process	10/1063	10/3113	2.92850423330198	2.09597342165913e-05	0.0009783916356975	10	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	BP	GO:0006886	intracellular protein transport	39/1063	70/3113	1.63159521569681	0.0001486158910807	0.0037451204552355	39	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	BP	GO:0006096	glycolysis	12/1063	17/3113	2.06717945880139	0.0023136259960889	0.0485861459178677	12	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	CC	GO:0005737	cytoplasm	77/578	129/1791	1.84956143880261	2.63304998408164e-11	1.00055899395102e-09	77	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	CC	GO:0030117	membrane coat	11/578	11/1791	3.09861591695502	3.70629153005916e-06	7.0419539071124e-05	11	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	CC	GO:0016459	myosin complex	5/578	5/1791	3.09861591695502	0.0034598306980682	0.0438245221755306	5	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	MF	GO:0005198	structural molecule activity	12/1421	12/4328	3.045742434905	1.5208438472319e-06	0.00070871323281	12	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	MF	GO:0003779	actin binding	13/1421	16/4328	2.47466572836031	9.43999760184953e-05	0.0219951944123094	13	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	MF	GO:0004812	aminoacyl-tRNA ligase activity	23/1421	37/4328	1.89329935142743	0.0002259967062187	0.0351048216993072	23	rebuilt_only_exact_GO_ID
interaction_vs_onu	up	MF	GO:0016651	oxidoreductase activity, acting on NADH or NADPH	7/1421	7/4328	3.045742434905	0.0004072190951023	0.0474410245794273	7	rebuilt_only_exact_GO_ID
