gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
TRINITY_DN0_c0_g1	1422.7995977649	0.0124526818765731	0.0696156795123312	0.847502124192451	0.922720841852546
TRINITY_DN0_c0_g2	7304.61227003358	0.403932895579852	0.0502158691740353	1.48001163494057e-16	4.87112554211313e-15
TRINITY_DN1_c0_g1	1559.33377369497	0.164785559651701	0.0726353206290228	0.0135448294915511	0.0460956584500809
TRINITY_DN1_c0_g2	33196.0826424404	0.351566113603034	0.0394654966785142	1.17641789258794e-19	4.88911300445023e-18
TRINITY_DN10_c0_g1	15573.6112330047	0.306300511704824	0.0576425268349285	2.89362864894326e-08	3.64322333617914e-07
TRINITY_DN100_c0_g1	3314.16973900866	0.130877320781315	0.0521007372882695	0.00864981234806253	0.0317981107607936
TRINITY_DN1000_c0_g1	3008.29461157509	-0.0308494405976033	0.0492581607692923	0.515269372384808	0.696494212286411
TRINITY_DN10008_c0_g1	22.8069547925499	-0.0303800186292397	0.175730108904139	0.632580846502419	0.787854341904218
TRINITY_DN1001_c0_g1	32625.7629456426	-0.427514705937549	0.050798716271147	6.19804875383467e-18	2.25986848243905e-16
TRINITY_DN10015_c0_g1	6.41807402328909	0.00825252217556075	0.182586476377072	0.81348230796117	NA
TRINITY_DN1002_c0_g1	4080.33469753553	-0.0140900314470797	0.0543662585862046	0.785601035576965	0.887690267564281
TRINITY_DN10020_c0_g1	59.0748795449292	0.722102941677916	0.388106435986778	0.00295570283912302	0.0128727946030722
TRINITY_DN10021_c0_g1	12.9946652881543	0.153737962988673	0.283070479446316	0.00983144431469469	0.0353555182011506
TRINITY_DN10023_c0_g1	4.20550104211069	0.00456897322496734	0.183386361312008	0.878881936793914	NA
TRINITY_DN10027_c0_g1	17.7278819492857	0.0357403214996223	0.183335807391735	0.464881527535544	0.654262881628442
TRINITY_DN1003_c0_g1	1187.9423388908	0.0735778801209978	0.0785206270979364	0.300404025593404	0.496689595923821
TRINITY_DN1004_c0_g1	22938.9571509274	0.062711154126372	0.0388440647681093	0.103553983633827	0.231673693312175
TRINITY_DN10040_c0_g1	49.4125515787926	-0.00343360970159793	0.163010442390821	0.96315797318493	0.983002435067408
TRINITY_DN10048_c0_g1	5.94848362786939	-0.0343053425235216	0.187212993584142	0.307481085728376	NA
TRINITY_DN1005_c0_g1	10759.716816591	0.265370335993882	0.040573965180435	2.05906049413089e-11	4.11308866118855e-10
TRINITY_DN1006_c0_g1	19002.055145056	-0.0840739574653628	0.0374145252282271	0.0215884095211856	0.0673544872747917
TRINITY_DN1006_c0_g2	8532.52136949648	-0.152420450100909	0.0482131378096886	0.00101980007676386	0.00514251884467865
TRINITY_DN1007_c0_g1	2209.45443243575	-0.355960483535577	0.064761566631965	7.95168483042882e-09	1.10624290520349e-07
TRINITY_DN10073_c0_g1	10.5636937669858	-0.00341400221677463	0.179102513341968	0.940872666681818	0.972221900461548
TRINITY_DN1008_c0_g1	527.402723167333	1.27059732687877	0.111334058477587	2.40539257503054e-31	1.9337778996639e-29
TRINITY_DN10081_c0_g1	4.61456537868958	0.00791783858311048	0.183151905528389	0.805278622356798	NA
TRINITY_DN10082_c0_g1	13.1589375361234	0.0450253175990095	0.186524265272435	0.356845451211945	0.556340833808101
TRINITY_DN10085_c0_g1	12.9950340911668	0.027274762227203	0.180305731988081	0.603854291937824	0.766977841922582
TRINITY_DN1009_c0_g1	1364.95360614918	0.0156715440911027	0.0732029414622751	0.817854574242591	0.906314454826909
TRINITY_DN101_c0_g1	787.899718417596	1.37568665816658	0.0975593239235353	1.23905282264966e-46	2.02543834742464e-44
TRINITY_DN1010_c0_g1	5239.5806430125	-0.0470940392890813	0.0484828355057697	0.313406221028968	0.511717698660249
TRINITY_DN10109_c0_g1	24.7805690150842	0.0847877588726145	0.200530991949723	0.176622821536858	0.34353569153161
TRINITY_DN1011_c0_g1	3072.247223929	-0.0212312915297246	0.0549843168128857	0.686629013859238	0.826212411720207
TRINITY_DN10113_c0_g1	20.1596288650002	0.00965019072167919	0.175366022125023	0.870998085967595	0.936191696128238
TRINITY_DN1012_c0_g1	293.324189322192	-0.0869224569380879	0.116927749038182	0.344141722922994	0.543620875894464
TRINITY_DN1013_c0_g1	6097.3388656972	0.339807433471286	0.046059346655429	3.97702264046978e-14	1.05139186139427e-12
TRINITY_DN1013_c1_g1	165.758466066222	0.071575495785039	0.140063398753146	0.459969027452867	0.649960556297035
TRINITY_DN1014_c0_g1	2670.37611285959	-0.1411774861946	0.0574341782946308	0.00949764657272056	0.034373770326658
