gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN0_c0_g1	1422.7995977649	0.0144257881414832	0.0750145619467814	0.192306503792123	0.847502124192451	0.915844217891488
TRINITY_DN0_c0_g2	7304.61227003358	0.412597551457697	0.0499627292212648	8.25810675054337	1.48001163494057e-16	4.46983379680038e-15
TRINITY_DN1_c0_g1	1559.33377369497	0.183665999229969	0.0743854051814108	2.46911338026654	0.0135448294915511	0.0425343563935659
TRINITY_DN1_c0_g2	33196.0826424404	0.357203696560278	0.0393774900231979	9.07126625769809	1.17641789258794e-19	4.48633942088622e-18
TRINITY_DN10_c0_g1	15573.6112330047	0.318753083851504	0.0574562413136274	5.54775384821253	2.89362864894326e-08	3.34308829788053e-07
TRINITY_DN100_c0_g1	3314.16973900866	0.139418735653506	0.053099899605661	2.62559320618079	0.00864981234806253	0.0293103581071396
TRINITY_DN1000_c0_g1	3008.29461157509	-0.033180506206735	0.0509955635594236	-0.650654760743466	0.515269372384808	0.676699890772402
TRINITY_DN10008_c0_g1	22.8069547925499	-0.224208287124356	0.46895938648014	-0.478097450628277	0.632580846502419	0.770709031883277
TRINITY_DN1001_c0_g1	32625.7629456426	-0.436260968655109	0.0505585066232065	-8.62883415260655	6.19804875383467e-18	2.07369660908967e-16
TRINITY_DN10015_c0_g1	6.41807402328909	0.229696102085757	0.97355245069813	0.235936031922104	0.81348230796117	NA
TRINITY_DN1002_c0_g1	4080.33469753553	-0.0154619772931323	0.0568398018759169	-0.272027290434374	0.785601035576965	0.878082997279667
TRINITY_DN10020_c0_g1	59.0748795449292	0.986214293406004	0.331800872344472	2.972307717088	0.00295570283912302	0.0118597082265302
TRINITY_DN10021_c0_g1	12.9946652881543	1.82839526247908	0.708213139103593	2.58170197857857	0.00983144431469469	NA
TRINITY_DN10023_c0_g1	4.20550104211069	0.179172021362136	1.17577194725201	0.152386712219911	0.878881936793914	NA
TRINITY_DN10027_c0_g1	17.7278819492857	0.474207302280659	0.648859162391869	0.730832405190372	0.464881527535544	NA
TRINITY_DN1003_c0_g1	1187.9423388908	0.0877084893306078	0.0846960735197602	1.03556736086644	0.300404025593404	0.473989521448218
TRINITY_DN1004_c0_g1	22938.9571509274	0.0644227348995826	0.03957504000009	1.62786278673215	0.103553983633827	0.2171954911919
TRINITY_DN10040_c0_g1	49.4125515787926	-0.015705483283739	0.34001136830081	-0.0461910534410256	0.96315797318493	0.980812599984654
TRINITY_DN10048_c0_g1	5.94848362786939	-1.02270154550129	1.00213597494321	-1.02052173664283	0.307481085728376	NA
TRINITY_DN1005_c0_g1	10759.716816591	0.271883047988907	0.0405688251614718	6.7017727751977	2.05906049413089e-11	3.77424530492424e-10
TRINITY_DN1006_c0_g1	19002.055145056	-0.0872857470713454	0.0379910821316637	-2.29753253063032	0.0215884095211856	0.0623210860820082
TRINITY_DN1006_c0_g2	8532.52136949648	-0.160364724085492	0.0488171705481966	-3.28500653119923	0.00101980007676386	0.00473347121757337
TRINITY_DN1007_c0_g1	2209.45443243575	-0.371084706605897	0.0643185784753273	-5.76947929202518	7.95168483042882e-09	1.01510870175687e-07
TRINITY_DN10073_c0_g1	10.5636937669858	-0.0507875548722238	0.684716821282888	-0.0741730789920832	0.940872666681818	NA
TRINITY_DN1008_c0_g1	527.402723167333	1.28894034040691	0.11067684207972	11.645980461554	2.40539257503054e-31	1.77446993239958e-29
TRINITY_DN10081_c0_g1	4.61456537868958	0.267848468219972	1.08651193149493	0.24652142370074	0.805278622356798	NA
TRINITY_DN10082_c0_g1	13.1589375361234	0.624822457253616	0.678128308996983	0.921392675934424	0.356845451211945	NA
TRINITY_DN10085_c0_g1	12.9950340911668	0.318630442458158	0.614090214193416	0.518865852432883	0.603854291937824	NA
TRINITY_DN1009_c0_g1	1364.95360614918	0.0183444111812695	0.0796525934741832	0.230305259140309	0.817854574242591	0.898142215460562
TRINITY_DN101_c0_g1	787.899718417596	1.38881631052035	0.0968523411400364	14.3395223509599	1.23905282264966e-46	1.85857923397449e-44
TRINITY_DN1010_c0_g1	5239.5806430125	-0.0504530510832033	0.0500476405243822	-1.00810049294179	0.313406221028968	0.488425279525664
TRINITY_DN10109_c0_g1	24.7805690150842	0.70505335758558	0.521787612192732	1.35122670816715	0.176622821536858	0.324500556251475
TRINITY_DN1011_c0_g1	3072.247223929	-0.0232226272918998	0.0575624018815631	-0.403433952246838	0.686629013859238	0.810979150227446
TRINITY_DN10113_c0_g1	20.1596288650002	0.085611216608013	0.527192408832273	0.162390837147373	0.870998085967595	0.930001515447663
TRINITY_DN1012_c0_g1	293.324189322192	-0.130675938252694	0.138133276421681	-0.946013456263631	0.344141722922994	0.520550505261672
TRINITY_DN1013_c0_g1	6097.3388656972	0.347419856113238	0.0459444120568386	7.56174343211616	3.97702264046978e-14	9.64776381785121e-13
TRINITY_DN1013_c1_g1	165.758466066222	0.141004906649418	0.190831393652667	0.7388978508749	0.459969027452867	0.628945798704924
TRINITY_DN1014_c0_g1	2670.37611285959	-0.152196746626453	0.0586816206445596	-2.59360162440509	0.00949764657272056	0.0316940375062978
TRINITY_DN1015_c0_g1	5280.2779076922	0.104104444912601	0.0528102720000464	1.97129158722208	0.0486905330790716	0.120953573754249
TRINITY_DN10154_c0_g1	19.5388615760387	-0.215019936913848	0.556681120303607	-0.386253330805576	0.699309060198897	NA
TRINITY_DN10155_c0_g1	21.8069634188771	-0.325317111005322	0.557494037147445	-0.583534691545559	0.559533410280533	0.713791735297633
TRINITY_DN1016_c0_g1	4187.48294386852	0.0754519575809675	0.0487936127694497	1.54634906698708	0.122020287815693	0.246616346360036
TRINITY_DN10166_c0_g1	2.85812307813615	-0.221748073157332	1.46850059821794	-0.151003052655496	0.879973307842118	NA
TRINITY_DN1017_c0_g1	9228.17544241632	-0.170455759541713	0.0431697125505467	-3.94850346390723	7.86412783264094e-05	0.000489807269853069
TRINITY_DN10175_c0_g1	10.7270880688765	-0.109724971648333	0.70570483080928	-0.155482812158879	0.876440703067401	NA
TRINITY_DN10179_c0_g1	11.5914000325543	0.54335037000743	0.769330989560494	0.706263464465194	0.480024309608967	NA
TRINITY_DN1018_c0_g1	5891.09070697756	0.0937485052596156	0.0450152831935179	2.08259281312519	0.0372883548664267	0.0971613184128083
TRINITY_DN1019_c0_g1	438.029416929956	0.00136368014599183	0.108406493642667	0.0125793215901515	0.989963418215541	0.995400766739395
TRINITY_DN10198_c0_g1	24.6194750669319	-0.937090661846971	0.515731434488533	-1.81701288535246	0.0692151403685977	0.15980920044058
TRINITY_DN102_c0_g1	18392.3187227664	0.179372284631698	0.056022376729056	3.20179712294617	0.00136573147330748	0.00608795604743305
TRINITY_DN102_c1_g1	479.841623669992	-0.463298382630805	0.112602421978133	-4.11446196708607	3.88083535924231e-05	0.000259877367806405
TRINITY_DN1020_c0_g1	907.083226375959	-0.00423444803888168	0.106688178931961	-0.0396899457959831	0.968340317454798	0.983974580229557
TRINITY_DN1021_c0_g1	6749.46349749474	-0.0616993618361179	0.0481329666679335	-1.28185246219661	0.199894406641047	0.354702219986086
TRINITY_DN1022_c0_g1	3999.25606878001	-0.132257158834461	0.0662284775338801	-1.99698322774827	0.0458270050130626	0.115143228676037
TRINITY_DN10225_c0_g1	6.65486364591502	0.260175137695677	0.844383667255746	0.308124313371964	0.757987741268947	NA
TRINITY_DN1023_c0_g1	13710.7841370608	-0.25013007540514	0.03951954075868	-6.32927586209874	2.46314402572883e-10	3.91666011158295e-09
TRINITY_DN1024_c0_g1	1281.93603451875	0.035298492054804	0.0730398302665222	0.483277301247824	0.628898854801107	0.768002258377064
TRINITY_DN10241_c0_g1	5.22623602413027	-2.6992608592705	1.17471775807075	-2.29779522845005	0.0215734464775237	NA
TRINITY_DN1025_c0_g1	3620.08474975635	-0.221164594434992	0.04999601834002	-4.423644157638	9.70498218196386e-06	7.1888756903436e-05
TRINITY_DN1026_c0_g1	7193.87207906905	0.0975930050410221	0.0471571574376605	2.0695268829559	0.0384966713292501	0.0999048563907875
TRINITY_DN1026_c0_g2	3259.36093865788	-0.161198022022347	0.0591205184227279	-2.72660027893762	0.00639905052474214	0.022718522573049
TRINITY_DN1027_c0_g1	11452.6394899395	0.00473901329153742	0.0381953733727059	0.1240729667778	0.90125750213148	0.947151176170567
TRINITY_DN10279_c0_g1	5.53719981432752	1.86437957216006	1.14610118177318	1.62671464074018	0.10379771781218	NA
TRINITY_DN1028_c0_g1	790.560200766868	-0.072844411291973	0.085851256647863	-0.848495574045697	0.396162036300912	0.57093007633438
TRINITY_DN10285_c0_g1	12.1710143949673	1.37045259267362	0.780819178664512	1.75514719684217	0.0792341331031223	NA
TRINITY_DN1029_c0_g1	13445.7004754261	0.0350011845707634	0.0410746451298929	0.852136018706356	0.394138602739404	0.569107560509327
TRINITY_DN1029_c0_g2	375.409684629296	0.208063997583286	0.131878119541509	1.57769915363251	0.114634740836969	0.235111277342907
TRINITY_DN1029_c1_g1	5913.82926073233	0.149169548446999	0.0448976916126725	3.32243247011156	0.000892362684339767	0.00423143527874494
