gene_id	response_group	interaction_vs_self_padj	interaction_vs_self_lfc	interaction_vs_onu_padj	interaction_vs_onu_lfc	onu_vs_self_padj	onu_vs_self_lfc	sig_reaction_vs_noncontact	sig_reaction_vs_control	sig_control_vs_noncontact	n_significant	mean_noncontact	mean_control	mean_reaction	expression_range	maximum_abs_lfc	minimum_relevant_padj	significance_score	selection_score
gene_11	Multi-region differential response	0.00347238452876287	-0.5962831264889362	1.7386465876602e-11	-1.3522415499742375	3.3385638613881e-4	0.7000644677048741	TRUE	TRUE	TRUE	3	9.080741555588862	9.608035744433213	8.734382321429603	0.8736534230036099	1.3522415499742375	1.7386465876602e-11	10.759788687478197	14.337925210430281
gene_12	Plate-wide response	0.672018634731162	0.12455245329709087	1.54336094553657e-6	-1.2392238900736428	8.03602412489919e-8	1.3978061560173591	FALSE	TRUE	TRUE	2	7.783311834677685	8.288324274115274	7.833768385574548	0.5050124394375892	1.3978061560173591	8.03602412489919e-8	7.094958768129007	10.395583519601313
gene_13	Multi-region differential response	0.0222659478860632	-0.5050521400332509	1.09881654762953e-16	-1.790361153504736	4.21217325042003e-9	1.2247755322399645	TRUE	TRUE	TRUE	3	8.60818433859813	9.387637141470424	8.367024747532367	1.0206123939380571	1.790361153504736	1.09881654762953e-16	15.959074808943795	20.560409509891322
gene_14	Reaction-zone specific	3.47986377115484e-8	-1.0103893602183602	2.91358023651308e-12	-1.2787646334289196	0.205795153315946	0.23894190230800108	TRUE	TRUE	FALSE	2	10.738194327226193	10.99867490759163	9.904972038630683	1.0937028689609463	1.2787646334289196	2.91358023651308e-12	11.535573017458828	15.186805153277614
gene_15	Reaction-zone specific	1.95349311427709e-5	-1.016646459719612	2.2888522708076e-8	-1.297168230617151	0.279821668172606	0.23537798060461584	TRUE	TRUE	FALSE	2	8.438789185801774	8.585427374049816	8.020985510754405	0.5644418632954107	1.297168230617151	2.2888522708076e-8	7.640382237051758	10.79916056158147
gene_16	NA	0.590093954179239	0.08921502115570953	0.98738761305808	-3.71380936096487e-4	0.585857518623316	0.06133223241812294	FALSE	FALSE	FALSE	0	7.009684681601915	7.108540678214213	7.08340223762818	0.09885599661229794	0.08921502115570953	0.585857518623316	0.2322079921723068	0.5094940310960239
gene_17	Reaction-zone specific	1.21701819492107e-5	0.45106969931593693	7.8782819465837e-4	0.3465196232697114	0.41859003050775	0.09615485387955457	TRUE	TRUE	FALSE	2	12.414374154263927	12.507557491371601	12.85434048169755	0.4399663274336234	0.45106969931593693	1.21701819492107e-5	4.914702928840805	6.256808654906303
gene_18	Non-contact specific	1.14338567114646e-22	-1.0912067753383174	0.34612129591295	0.11785999827578084	1.7928093550225099e-28	-1.2124815530663815	TRUE	FALSE	TRUE	2	11.755676660123246	10.659586361032604	10.768464644869583	1.0960902990906423	1.2124815530663815	1.7928093550225099e-28	27.746465890283766	31.26751929550717
gene_19	Multi-region differential response	7.51290108600813e-10	0.40971331816474593	0.0245443926549323	0.1522418414584765	1.3076854239637e-4	0.25533507891706037	TRUE	TRUE	TRUE	3	11.096344849957084	11.329255532387004	11.469400119649283	0.37305526969219827	0.40971331816474593	7.51290108600813e-10	9.124192328993816	10.316674235015507
gene_20	Plate-wide response	0.135639924220107	-0.15343854611807994	8.37627811968892e-6	-0.426188534366287	0.00555224448032293	0.2726750730760975	FALSE	TRUE	TRUE	2	12.18761017631289	12.45901787467284	12.045995203009356	0.4130226716634837	0.426188534366287	8.37627811968892e-6	5.076948911099875	6.342348651495933
gene_21	Plate-wide response	0.177988508049662	0.1530006483662009	0.0147792696495274	-0.26216996447275265	8.206626422744e-5	0.41720008626725275	FALSE	TRUE	TRUE	2	10.831669177484148	11.207832546484937	10.969845112214497	0.37616336900078906	0.41720008626725275	8.206626422744e-5	4.085835335826607	5.296398877361901
