gene_id	protein_id
gene_772	1979332
gene_773	1979333
gene_776	1979336
gene_779	1979339
gene_781	1979341
gene_783	1979343
gene_785	1979345
gene_786	1979346
gene_787	1979347
gene_789	1979349
gene_790	1979350
gene_792	1979352
gene_793	1979353
gene_796	1979356
gene_798	1979358
gene_799	1979359
gene_800	1979360
gene_801	1979361
gene_802	1979362
gene_803	1979363
gene_804	1979364
gene_805	1979365
gene_806	1979366
gene_807	1979367
gene_813	1979373
gene_816	1979376
gene_817	1979377
gene_818	1979378
gene_819	1979379
gene_820	1979380
gene_821	1979381
gene_823	1979383
gene_826	1979386
gene_830	1979390
gene_831	1979391
gene_833	1979393
gene_835	1979395
gene_836	1979396
gene_837	1979397
gene_838	1979398
gene_839	1979399
gene_840	1979400
gene_841	1979401
gene_843	1979403
gene_844	1979404
gene_848	1979408
gene_849	1979409
gene_853	1979413
gene_856	1979416
gene_857	1979417
gene_859	1979419
gene_860	1979420
gene_861	1979421
gene_864	1979424
gene_867	1979427
gene_871	1979431
gene_876	1979436
gene_881	1979441
gene_882	1979442
gene_886	1979446
gene_891	1979451
gene_892	1979452
gene_895	1979455
gene_896	1979456
gene_903	1979463
gene_905	1979465
gene_906	1979466
gene_909	1979469
gene_910	1979470
gene_913	1979473
gene_915	1979475
gene_917	1979477
gene_918	1979478
gene_919	1979479
gene_920	1979480
gene_921	1979481
gene_922	1979482
gene_923	1979483
gene_924	1979484
gene_926	1979486
gene_927	1979487
gene_931	1979491
gene_932	1979492
gene_933	1979493
gene_935	1979495
gene_938	1979498
gene_939	1979499
gene_941	1979501
gene_942	1979502
gene_943	1979503
gene_946	1979506
gene_948	1979508
gene_952	1979512
gene_953	1979513
gene_955	1979515
gene_958	1979518
gene_960	1979520
gene_961	1979521
gene_962	1979522
gene_966	1979526
gene_970	1979530
gene_971	1979531
gene_979	1979539
gene_983	1979543
gene_986	1979546
gene_988	1979548
gene_989	1979549
gene_993	1979553
gene_995	1979555
gene_996	1979556
gene_997	1979557
gene_1001	1979561
gene_1006	1979566
gene_1009	1979569
gene_1010	1979570
gene_1014	1979574
gene_1015	1979575
gene_1017	1979577
gene_1020	1979580
gene_1022	1979582
gene_1024	1979584
gene_1025	1979585
gene_1026	1979586
gene_1029	1979589
gene_1031	1979591
gene_1034	1979594
gene_1038	1979598
gene_1040	1979600
gene_1041	1979601
gene_1042	1979602
gene_1044	1979604
gene_1047	1979607
gene_1049	1979609
gene_1050	1979610
gene_1052	1979612
gene_1057	1979617
gene_1062	1979622
gene_1067	1979627
gene_1070	1979630
gene_1071	1979631
gene_1072	1979632
gene_1073	1979633
gene_1075	1979635
gene_1076	1979636
gene_1077	1979637
gene_1078	1979638
gene_1080	1979640
gene_1085	1979645
gene_1088	1979648
gene_1090	1979650
gene_1091	1979651
gene_1093	1979653
gene_1094	1979654
gene_1097	1979657
gene_1098	1979658
gene_1099	1979659
gene_1102	1979662
gene_1104	1979664
gene_1106	1979666
gene_1108	1979668
gene_1112	1979672
gene_1115	1979675
gene_1117	1979677
gene_1118	1979678
gene_1120	1979680
gene_1121	1979681
gene_1122	1979682
gene_1123	1979683
gene_1124	1979684
gene_1126	1979686
gene_1127	1979687
gene_1128	1979688
gene_1132	1979692
gene_1136	1979696
gene_1138	1979698
gene_1141	1979701
gene_1143	1979703
gene_1145	1979705
gene_1153	1979713
gene_1155	1979715
gene_1156	1979716
gene_1158	1979718
gene_1159	1979719
gene_1161	1979721
gene_1164	1979724
gene_1167	1979727
gene_1169	1979729
gene_1170	1979730
gene_1172	1979732
gene_1182	1979742
gene_1186	1979746
gene_1187	1979747
gene_1188	1979748
gene_1190	1979750
gene_1191	1979751
gene_1193	1979753
gene_1195	1979755
gene_1197	1979757
gene_1200	1979760
gene_1204	1979764
gene_1206	1979766
gene_1209	1979769
gene_1210	1979770
gene_1215	1979775
gene_1217	1979777
gene_1221	1979781
gene_1222	1979782
gene_1224	1979784
gene_1230	1979790
gene_1232	1979792
gene_1233	1979793
gene_1237	1979797
gene_1239	1979799
gene_1240	1979800
gene_1241	1979801
gene_1243	1979803
gene_1249	1979809
gene_1253	1979813
gene_1257	1979817
gene_1258	1979818
gene_1261	1979821
gene_1262	1979822
gene_1263	1979823
gene_1267	1979827
gene_1268	1979828
gene_1270	1979830
gene_1271	1979831
gene_1272	1979832
gene_1273	1979833
gene_1274	1979834
gene_1276	1979836
gene_1277	1979837
gene_1283	1979843
gene_1285	1979845
gene_1287	1979847
gene_1289	1979849
gene_1292	1979852
gene_1294	1979854
gene_1297	1979857
gene_1298	1979858
gene_1299	1979859
gene_1300	1979860
gene_1301	1979861
gene_1302	1979862
gene_1303	1979863
gene_1305	1979865
gene_1306	1979866
gene_1307	1979867
gene_1310	1979870
gene_1313	1979873
gene_1315	1979875
gene_1316	1979876
gene_1319	1979879
gene_1320	1979880
gene_1321	1979881
gene_1323	1979883
gene_1324	1979884
gene_1328	1979888
gene_1331	1979891
gene_1332	1979892
gene_1334	1979894
gene_1335	1979895
gene_1336	1979896
gene_1338	1979898
gene_1339	1979899
gene_1340	1979900
gene_1341	1979901
gene_1346	1979906
gene_1349	1979909
gene_1352	1979912
gene_1353	1979913
gene_1356	1979916
gene_1357	1979917
gene_1360	1979920
gene_1361	1979921
gene_1371	1979931
gene_1375	1979935
gene_1376	1979936
gene_1378	1979938
gene_1379	1979939
gene_1380	1979940
gene_1381	1979941
gene_1382	1979942
gene_1385	1979945
gene_1386	1979946
gene_1387	1979947
gene_1389	1979949
gene_1390	1979950
gene_1391	1979951
gene_1392	1979952
gene_1394	1979954
gene_1395	1979955
gene_1396	1979956
gene_1401	1979961
gene_1402	1979962
gene_1405	1979965
gene_1408	1979968
gene_1411	1979971
gene_1414	1979974
gene_1415	1979975
gene_1417	1979977
gene_1420	1979980
gene_1421	1979981
