direction	significant_genes	kegg_definition	catalytic_activity	go_description	cazyme_family	cazyme_substrate	secreted	any_functional_label	uncharacterized	labelled_percent
Downregulated	2709	504	504	1429	2709	2709	146	2709	0	100
Upregulated	2529	660	660	1478	2529	2529	237	2529	0	100
