gene_id	baseMean	dispersion	maxCooks	betaConverged
gene_1	1029.21093673536	0.0170401244879095	0.331434445767984	TRUE
gene_2	220.107912912225	0.0461726565544306	0.115878502179249	TRUE
gene_3	596.514151919306	0.0196435038082152	0.32904826278847	TRUE
gene_4	78.8179022753935	0.06787834376027	1.75825040976988	TRUE
gene_5	101.080783046542	0.0308430605060229	0.26411765412777	TRUE
gene_6	12926.530433202	0.0174188918359621	0.36409109301335	TRUE
gene_7	46.3291310521539	0.0860869949151297	1.70838445050272	TRUE
gene_8	1111.62069404125	0.0117891135063206	0.178813827084752	TRUE
gene_9	83.7622432437479	0.0369375602154302	0.636680735189783	TRUE
gene_10	204.739190306532	0.0267786074195001	0.332644609681699	TRUE
gene_11	358.002816578833	0.0247368344015658	0.723397993146165	TRUE
gene_12	63.3328414562614	0.0296235086193344	0.171237964473095	TRUE
gene_13	246.540786874651	0.0265577073127073	0.717281730685442	TRUE
gene_14	1337.977212241	0.0225658985180534	0.634055619604101	TRUE
gene_15	125.0330330668	0.0263214788588732	0.117279866000103	TRUE
gene_16	0.681391273339703	5.35223946670607	1.20274120456396	TRUE
gene_17	5985.56051556044	0.00682450852889211	0.0948858038202848	TRUE
gene_18	2029.06043751688	0.00805685676932757	0.0922575441264539	TRUE
gene_19	2282.18340172218	0.00239449518925382	0.0130417169182871	TRUE
gene_20	4594.61691949484	0.00590009821284891	0.0730083303794738	TRUE
gene_21	1818.28257049683	0.00686126757028862	0.0715709783281539	TRUE
gene_22	2182.78966814967	0.0053137915762233	0.0701410341880393	TRUE
gene_23	1297.16033958663	0.0084198246125191	0.12258772662387	TRUE
gene_24	2308.35472995717	0.00259683597349752	0.0145983408924381	TRUE
gene_25	5.3244199978847	0.296594732887008	0.550578301042001	TRUE
gene_26	3411.16916531267	0.00619432159703012	0.0752782395957956	TRUE
gene_27	2790.90916211095	0.00553565169179647	0.0658197684560128	TRUE
gene_28	1802.56596248615	0.00887299755946406	0.171241075330739	TRUE
gene_29	1.02419134013366	2.75388648129925	0.749994469600277	TRUE
gene_30	2215.79116671243	0.0060465160743268	0.0637709897696611	TRUE
gene_31	3087.58045361037	0.00451178887927811	0.0505809374358174	TRUE
gene_32	188.075520121207	0.022032865674457	0.28109383679361	TRUE
gene_33	1647.41556014433	0.00957008018109541	0.144733650260321	TRUE
gene_34	2345.12980135906	0.00652759488779824	0.0984977584236865	TRUE
gene_35	9.88336718644342	0.146453190459891	0.185583260195417	TRUE
gene_36	2221.59362588828	0.0136050651578057	0.197605639351022	TRUE
gene_37	1882.93751807802	0.00396695288012384	0.0440672861784738	TRUE
gene_38	1176.35998463364	0.0134962635175133	0.189465046305021	TRUE
gene_39	860.724953760098	0.0046457354591318	0.0592395592586852	TRUE
gene_40	758.213410406406	0.00617689773865663	0.0472076661285587	TRUE
gene_41	634.152685299842	0.00686016571881671	0.0790466389568344	TRUE
gene_42	953.695067042241	0.00602771192090712	0.0568554007116884	TRUE
gene_43	248.160626751105	0.0236689074444219	0.381258938449531	TRUE
gene_44	3754.05679479077	0.00300867382945939	0.0141950212673818	TRUE
gene_45	1344.73044821069	0.00358560807009606	0.0287217300854914	TRUE
gene_46	2969.65511514753	0.0130970336469118	0.206092189453698	TRUE
gene_47	652.306568089152	0.0167124787839118	0.344513933604445	TRUE
gene_48	1156.5299293109	0.00339409513514654	0.0174440109559419	TRUE
gene_49	2395.52654156394	0.0066543508370519	0.0637954664447714	TRUE
gene_50	2219.13229742809	0.0133476291293198	0.277085756033995	TRUE
gene_51	549.531067659133	0.00858269797179007	0.0871037805026587	TRUE
gene_52	317.379720667957	0.0118221689088428	0.136602071098228	TRUE
gene_53	3902.40127816967	0.00557890656331165	0.0980424868379332	TRUE
gene_54	4011.68107235513	0.00786086130797263	0.0732384858625658	TRUE
gene_55	368.120626401543	0.0144191707209455	0.360794514224314	TRUE
gene_56	498.800705510545	0.00512122395178347	0.021224704473416	TRUE
gene_57	446.949917189317	0.0105619275726631	0.18580281016094	TRUE
gene_58	439.081454969249	0.0073338796137317	0.0717732428573636	TRUE
gene_59	121.216837971602	0.0322481544505468	0.376557917830095	TRUE
gene_60	340.096489530546	0.0399081883919445	0.76241570700814	TRUE
gene_61	757.797934003269	0.0213537756008702	0.490657627530641	TRUE
gene_62	92.5853371127538	0.0366354960041359	0.423293749921218	TRUE
gene_63	102.457976146002	0.0173118558291733	0.0781907529633582	TRUE
gene_64	3.63130219951449	0.615933801992773	0.08325448715881	TRUE
gene_65	3283.50420344557	0.00579092661251975	0.0605861239975344	TRUE
gene_66	3762.606248372	0.00662383658920443	0.078661476590616	TRUE
gene_67	13.4508984445498	0.0926414215457929	0.176163467994452	TRUE
gene_68	0.305833756367098	7.99609189627408	0.0695004352839071	TRUE
gene_69	543.061974754702	0.0197880761493784	0.199079026579783	TRUE
gene_70	944.732011302309	0.00991258594952311	0.107007030583204	TRUE
gene_71	1154.93817472498	0.00353023751789841	0.0204451515271688	TRUE
gene_72	148.803981457282	0.0150377694045897	0.141218628025837	TRUE
gene_73	5831.93822175884	0.00336569631624389	0.0226528231707071	TRUE
gene_74	239.101505674495	0.0157324839164926	0.32523225944318	TRUE
gene_75	181.971213934659	0.0117028059876592	0.058441162026401	TRUE
gene_76	1508.44470569787	0.00467425386721113	0.0550483936543981	TRUE
gene_77	682.267041048489	0.0101185460211321	0.185469664068221	TRUE
gene_78	266.720554378221	0.0332660949335919	0.198320280146572	TRUE
gene_79	364.883276999054	0.0085135549731576	0.0807232356151921	TRUE
gene_80	1939.05153172062	0.0105051578022431	0.143979963143967	TRUE
gene_81	1406.57478501933	0.00697856040152382	0.141971087412255	TRUE
gene_82	868.083214428524	0.00983418217801696	0.125390936875624	TRUE
gene_83	913.54552704232	0.0115904226493597	0.236339956847108	TRUE
gene_84	642.063216171337	0.0133213113754122	0.341238144690991	TRUE
gene_85	856.750903597365	0.00890608969709706	0.0972155506476769	TRUE
gene_86	3.32630122072011	0.512269447851229	0.436234199715963	TRUE
gene_87	416.037112392272	0.00860375866815874	0.0872101635456342	TRUE
gene_88	355.441292925206	0.0125651385238947	0.162804651487832	TRUE
gene_89	427.003751288549	0.0180040995512702	0.23484446844331	TRUE
gene_90	848.128485690936	0.00750216132048856	0.120724479044672	TRUE
gene_91	761.388895919633	0.00715812132828206	0.108044062888257	TRUE
gene_92	847.675056558364	0.0105635671750075	0.174958685850232	TRUE
gene_93	1865.05572702828	0.00646680915876715	0.101070413889055	TRUE
gene_94	69.5403165557185	0.0286265515311126	0.265698950093298	TRUE
gene_95	390.893514022478	0.0246849238385049	0.099108614307476	TRUE
gene_96	206.864466566616	0.0328488619281623	0.290664901015976	TRUE
gene_97	6671.48792200929	0.106683469822492	0.309141820350651	TRUE
gene_98	304.879945715634	0.0398886948861721	0.902545043217002	TRUE
gene_99	44.1078992647238	0.054684917977229	0.548325136590874	TRUE
gene_100	2072.02962937864	0.00427406361197215	0.0342281020520572	TRUE
gene_101	1673.29654433717	0.00875594577442858	0.108736685224755	TRUE
gene_102	167.25874349621	0.0139130133762038	0.248498115421439	TRUE
gene_103	585.446047536866	0.0113193013067941	0.141663976921867	TRUE
gene_104	107.111595291262	0.0212419931694079	0.211541509625782	TRUE
gene_105	1179.25140310035	0.00940290444246861	0.0952359944453944	TRUE
gene_106	160.901586290317	0.0253553718510392	0.209123403998798	TRUE
gene_107	43463.7313789275	0.0041149775985364	0.0448041805429137	TRUE
gene_108	1050.70093478134	0.0117440875191498	0.193611724884637	TRUE
gene_109	1526.65967840648	0.0108725071168771	0.103569707851205	TRUE
gene_110	236.172248293771	0.0113933272672029	0.123813215603124	TRUE
gene_111	2633.09689554284	0.00746858310961791	0.154786891246339	TRUE
gene_112	808.34149239839	0.0142181001127234	0.193454777102617	TRUE
gene_113	156.904381857223	0.0391685416946958	0.822548536759806	TRUE
gene_114	427.692995763476	0.0212139879914152	0.25220274810251	TRUE
gene_115	822.219537277721	0.00744232163946498	0.068922940247903	TRUE
gene_116	493.470809668213	0.0220886629661611	0.230949823365244	TRUE
gene_117	3848.17276503205	0.0256588167386538	0.507734245932042	TRUE
gene_118	269.729235023478	0.0332594323807348	0.595192172513128	TRUE
gene_119	310.978543281654	0.0118171487204859	0.115344708560184	TRUE
gene_120	428.098134431179	0.0134925471018289	0.228180676183202	TRUE
gene_121	434.225768599279	0.0104158728051392	0.135890160735207	TRUE
gene_122	107.538332757254	0.0176482096169531	0.120989224985773	TRUE
gene_123	507.41859091288	0.0314059790305256	0.433716017995004	TRUE
gene_124	322.935704163235	0.0169851488295739	0.217646714674431	TRUE
gene_125	412.860531544014	0.018649353998239	0.310953683000476	TRUE
gene_126	3356.87513994023	0.00904339724601518	0.103323783741842	TRUE
gene_127	2159.99356104745	0.00415291387967671	0.0585753044706349	TRUE
gene_128	9355.90543032118	0.00447248972714589	0.0510831498008613	TRUE
gene_129	1453.37833864993	0.00952801573705649	0.0579576287629453	TRUE
gene_130	1169.55158004793	0.00331602842317537	0.0196148623269058	TRUE
gene_131	992.396430600719	0.0152249793712258	0.32598048607098	TRUE
gene_132	1.29639952572162	2.52623295828419	0.563064072189218	TRUE
gene_133	50.8271925403436	0.0355608630569671	0.253038055309746	TRUE
gene_134	822.252367210706	0.00406304618239498	0.0286756753723875	TRUE
gene_135	1322.53619453342	0.0144612185905618	0.314045694391928	TRUE
gene_136	12624.5435872089	0.00664369106506889	0.0814508865385748	TRUE
gene_137	663.458000769308	0.00454682360990387	0.0246489824639224	TRUE
gene_138	344.316513731192	0.0451639852861146	0.318718411476054	TRUE
gene_139	2401.63695886314	0.00376759899020229	0.0442363880269117	TRUE
gene_140	635.304177228613	0.0291209917282393	0.395304910699698	TRUE
gene_141	2941.92198672001	0.010207990672939	0.13462097784083	TRUE
gene_142	49523.1590085897	0.00415383604478623	0.0561586421339534	TRUE
gene_143	328.83636593572	0.0644949936643743	1.26866895275057	TRUE
gene_144	22324.1688519696	0.00278882803453043	0.0281502389302899	TRUE
gene_145	61.8962936337984	0.0321801607495391	0.164822335568597	TRUE
gene_146	883.935775704292	0.0102063959209537	0.247040450597256	TRUE
gene_147	1394.46369614141	0.00495222094240425	0.0562301321846623	TRUE
gene_148	188.961678263348	0.0240691087840044	0.615916844862982	TRUE
gene_149	5200.69482837001	0.00323418253081694	0.0204113067818165	TRUE
gene_150	3886.25146828636	0.00918926742590073	0.160326778277819	TRUE
gene_151	1288.87042584326	0.0104377600217935	0.162706558706006	TRUE
gene_152	863.0252557309	0.00386815039783503	0.0265753925104257	TRUE
gene_153	850.06082492579	0.00582180339288502	0.0473334870943579	TRUE
gene_154	4147.16093347077	0.00270548956051404	0.021080466511723	TRUE
gene_155	739.439970492789	0.00673784002759989	0.0534265181831357	TRUE
gene_156	5123.73249238574	0.00471385218474848	0.0524345024935556	TRUE
gene_157	431.551849159625	0.00564833087265176	0.0639866679949151	TRUE
gene_158	2819.7321141579	0.00324098316495328	0.0251626528850529	TRUE
gene_159	1342.23765742449	0.00900547014704738	0.12962155324972	TRUE
gene_160	1738.68259057544	0.00690173934376971	0.0796638764835954	TRUE
