contrast	direction	ontology	ID	Description	GeneRatio	BgRatio	FoldEnrichment	pvalue	p.adjust	Count	comparison_status
interaction_vs_self	down	BP	GO:0006350	transcription	91/915	164/3113	1.88779821404771	6.77698248653466e-13	5.044683599524029e-11	91	rebuilt_only_exact_GO_ID
interaction_vs_self	down	BP	GO:0006355	regulation of transcription, DNA-dependent	123/915	266/3113	1.57319117465796	8.86750205546278e-10	3.3105341007061e-08	123	rebuilt_only_exact_GO_ID
interaction_vs_self	down	BP	GO:0006364	rRNA processing	16/915	18/3113	3.02416514875531	2.28580216979772e-07	5.1201968603469e-06	16	rebuilt_only_exact_GO_ID
interaction_vs_self	down	CC	GO:0005634	nucleus	206/584	473/1791	1.33563815922847	3.6607401429885503e-09	1.02500724003679e-07	206	rebuilt_only_exact_GO_ID
interaction_vs_self	down	CC	GO:0032040	small subunit processome	8/584	10/1791	2.45342465753425	0.0028341471916909	0.0230576307309115	8	rebuilt_only_exact_GO_ID
interaction_vs_self	down	MF	GO:0003676	nucleic acid binding	141/1321	311/4328	1.485399105715	8.00597707314479e-09	1.19822790194734e-06	141	rebuilt_only_exact_GO_ID
interaction_vs_self	down	MF	GO:0003700	transcription factor activity	112/1321	239/4328	1.53533997003665	3.54497843661034e-08	3.97923829509511e-06	112	rebuilt_only_exact_GO_ID
interaction_vs_self	down	MF	GO:0003677	DNA binding	133/1321	306/4328	1.42401527858178	4.79475135143585e-07	4.30568671358939e-05	133	rebuilt_only_exact_GO_ID
interaction_vs_self	down	MF	GO:0004386	helicase activity	37/1321	69/4328	1.75685964739054	4.75271056455528e-05	0.0035566117391422	37	rebuilt_only_exact_GO_ID
interaction_vs_self	down	MF	GO:0008026	ATP-dependent helicase activity	31/1321	58/4328	1.75112897752486	0.0002102340177107	0.0134850105645872	31	rebuilt_only_exact_GO_ID
interaction_vs_self	down	MF	GO:0030246	carbohydrate binding	10/1321	13/4328	2.52023525301345	0.0007462902641149	0.0418855410734532	10	rebuilt_only_exact_GO_ID
interaction_vs_self	up	BP	GO:0006096	glycolysis	13/1015	17/3113	2.34534917415242	0.0002564204089051	0.0069119128825307	13	rebuilt_only_exact_GO_ID
interaction_vs_self	up	BP	GO:0006461	protein complex assembly	15/1015	20/3113	2.30024630541872	0.0001200712244988	0.0069119128825307	15	rebuilt_only_exact_GO_ID
interaction_vs_self	up	BP	GO:0006886	intracellular protein transport	38/1015	70/3113	1.66494018296974	0.0001249706461398	0.0069119128825307	38	rebuilt_only_exact_GO_ID
interaction_vs_self	up	BP	GO:0015986	ATP synthesis coupled proton transport	13/1015	17/3113	2.34534917415242	0.0002564204089051	0.0069119128825307	13	rebuilt_only_exact_GO_ID
interaction_vs_self	up	BP	GO:0044267	cellular protein metabolic process	9/1015	10/3113	2.76029556650246	0.0002879963701054	0.0069119128825307	9	rebuilt_only_exact_GO_ID
interaction_vs_self	up	BP	GO:0006270	DNA replication initiation	7/1015	7/3113	3.06699507389163	0.0003863096493051	0.0077261929861033	7	rebuilt_only_exact_GO_ID
interaction_vs_self	up	BP	GO:0006412	translation	68/1015	155/3113	1.34552041951375	0.0017274567068471	0.0296135435459509	68	rebuilt_only_exact_GO_ID
interaction_vs_self	up	BP	GO:0007018	microtubule-based movement	10/1015	14/3113	2.19071076706545	0.0032963276962617	0.0488072137803428	10	rebuilt_only_exact_GO_ID
interaction_vs_self	up	BP	GO:0030036	actin cytoskeleton organization and biogenesis	5/1015	5/3113	3.06699507389163	0.0036605410335257	0.0488072137803428	5	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0005839	proteasome core complex	14/535	14/1791	3.34766355140187	3.99242520282757e-08	1.55704582910275e-06	14	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0005737	cytoplasm	64/535	129/1791	1.66085633557922	8.01211143076402e-07	1.56236172899898e-05	64	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0005789	endoplasmic reticulum membrane	9/535	9/1791	3.34766355140187	1.80587459441884e-05	0.0002347636972744	9	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0030117	membrane coat	9/535	11/1791	2.73899745114698	0.0005362231502396	0.0052281757148363	9	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0016469	proton-transporting two-sector ATPase complex	14/535	22/1791	2.1303313508921	0.0010030498320376	0.007823788689894	14	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0015935	small ribosomal subunit	8/535	10/1791	2.6781308411215	0.0014966156712689	0.009728001863248	8	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0016459	myosin complex	5/535	5/1791	3.34766355140187	0.002347347446074	0.0130780786281266	5	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0005739	mitochondrion	9/535	13/1791	2.3176132278936	0.0037817695026201	0.014386257578776	9	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0005783	endoplasmic reticulum	8/535	11/1791	2.43466440101954	0.0040576623940137	0.014386257578776	8	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0005840	ribosome	44/535	103/1791	1.43006986661827	0.0029632928066477	0.014386257578776	44	rebuilt_only_exact_GO_ID
interaction_vs_self	up	CC	GO:0030131	clathrin adaptor complex	6/535	7/1791	2.8694259012016	0.0036374420214408	0.014386257578776	6	rebuilt_only_exact_GO_ID
interaction_vs_self	up	MF	GO:0004298	threonine endopeptidase activity	14/1390	14/4328	3.1136690647482	1.18796017498189e-07	2.6966695972089e-05	14	rebuilt_only_exact_GO_ID
interaction_vs_self	up	MF	GO:0004299	proteasome endopeptidase activity	14/1390	14/4328	3.1136690647482	1.18796017498189e-07	2.6966695972089e-05	14	rebuilt_only_exact_GO_ID
interaction_vs_self	up	MF	GO:0003779	actin binding	15/1390	16/4328	2.91906474820144	4.25063202595237e-07	6.43262313260792e-05	15	rebuilt_only_exact_GO_ID
interaction_vs_self	up	MF	GO:0004175	endopeptidase activity	9/1390	9/4328	3.1136690647482	3.57183854376274e-05	0.0040540367471707	9	rebuilt_only_exact_GO_ID
interaction_vs_self	up	MF	GO:0046933	hydrogen ion transporting ATP synthase activity, rotational mechanism	13/1390	17/4328	2.38104104951333	0.0002183378044647	0.0198250726453966	13	rebuilt_only_exact_GO_ID
interaction_vs_self	up	MF	GO:0008137	NADH dehydrogenase (ubiquinone) activity	7/1390	7/4328	3.1136690647482	0.0003488426760635	0.0226249392761199	7	rebuilt_only_exact_GO_ID
interaction_vs_self	up	MF	GO:0016651	oxidoreductase activity, acting on NADH or NADPH	7/1390	7/4328	3.1136690647482	0.0003488426760635	0.0226249392761199	7	rebuilt_only_exact_GO_ID
interaction_vs_self	up	MF	GO:0030170	pyridoxal phosphate binding	28/1390	51/4328	1.70946536888137	0.000597283862482	0.0301296526185405	28	rebuilt_only_exact_GO_ID
interaction_vs_self	up	MF	GO:0046961	hydrogen ion transporting ATPase activity, rotational mechanism	15/1390	22/4328	2.12295618051014	0.0005458859243709	0.0301296526185405	15	rebuilt_only_exact_GO_ID
interaction_vs_self	up	MF	GO:0008565	protein transporter activity	19/1390	31/4328	1.90837781387793	0.0007549441097967	0.0342744625847741	19	rebuilt_only_exact_GO_ID
