ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_numeric_id	pathway_name	raw_prefixes_observed
map04261	map04261	1/11	21/2403	0.0476190476190476	10.4025974025974	2.93419428094639	0.0922213614503931	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4261	map04261	ko,map
map04013	map04013	1/11	22/2403	0.0454545454545455	9.9297520661157	2.8528129684106	0.096413454239665	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4013	map04013	ko,map
map01110	map01110	4/11	414/2403	0.00966183574879227	2.11067193675889	1.68411147178457	0.104928317903199	0.182172899762255	0.160942223474173	TRINITY_DN2554_c0_g1/TRINITY_DN4740_c0_g1/TRINITY_DN5016_c0_g1/TRINITY_DN8758_c0_g1	4	interaction_vs_self	strong	up	FALSE	1110	map01110	ko,map
map04024	map04024	1/11	25/2403	0.04	8.73818181818182	2.63697046422656	0.108884360073937	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4024	map04024	ko,map
map04212	map04212	1/11	25/2403	0.04	8.73818181818182	2.63697046422656	0.108884360073937	0.182172899762255	0.160942223474173	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	FALSE	4212	map04212	ko,map
map04728	map04728	1/11	25/2403	0.04	8.73818181818182	2.63697046422656	0.108884360073937	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4728	map04728	ko,map
map00680	map00680	1/11	26/2403	0.0384615384615385	8.4020979020979	2.57293707169907	0.113006425691762	0.182172899762255	0.160942223474173	TRINITY_DN5791_c0_g1	1	interaction_vs_self	strong	up	FALSE	680	map00680	ko,map
map04010	map04010	1/11	26/2403	0.0384615384615385	8.4020979020979	2.57293707169907	0.113006425691762	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	4010	map04010	ko,map
map01200	map01200	2/11	128/2403	0.015625	3.41335227272727	1.90255517560468	0.113057015163081	0.182172899762255	0.160942223474173	TRINITY_DN4740_c0_g1/TRINITY_DN5791_c0_g1	2	interaction_vs_self	strong	up	FALSE	1200	map01200	ko,map
map04068	map04068	1/11	27/2403	0.037037037037037	8.09090909090909	2.51224990174358	0.117111149847164	0.182172899762255	0.160942223474173	TRINITY_DN4740_c0_g1	1	interaction_vs_self	strong	up	FALSE	4068	map04068	ko,map
map05164	map05164	1/11	27/2403	0.037037037037037	8.09090909090909	2.51224990174358	0.117111149847164	0.182172899762255	0.160942223474173	TRINITY_DN1008_c0_g1	1	interaction_vs_self	strong	up	FALSE	5164	map05164	ko,map
