ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_numeric_id	pathway_name	raw_prefixes_observed
map00071	map00071	12/379	41/2403	0.292682926829268	1.85571787116288	2.3910212518399	0.0203062984316468	0.497282693385691	0.489041439497857	TRINITY_DN1115_c0_g1/TRINITY_DN17611_c0_g1/TRINITY_DN2128_c0_g1/TRINITY_DN2378_c0_g1/TRINITY_DN2770_c0_g1/TRINITY_DN2794_c0_g1/TRINITY_DN3896_c0_g1/TRINITY_DN4632_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN661_c0_g1/TRINITY_DN8903_c0_g1	12	interaction_vs_self	significant	up	FALSE	71	map00071	ko,map
map00982	map00982	11/379	37/2403	0.297297297297297	1.88497468444698	2.3470654031492	0.0230166011363249	0.497282693385691	0.489041439497857	TRINITY_DN1115_c0_g1/TRINITY_DN1372_c0_g1/TRINITY_DN1400_c0_g1/TRINITY_DN268_c0_g1/TRINITY_DN2770_c0_g1/TRINITY_DN3223_c0_g1/TRINITY_DN4632_c0_g1/TRINITY_DN4802_c0_g1/TRINITY_DN4938_c0_g1/TRINITY_DN5019_c0_g1/TRINITY_DN5915_c0_g1	11	interaction_vs_self	significant	up	FALSE	982	map00982	ko,map
map00603	map00603	4/379	8/2403	0.5	3.17018469656992	2.6600499003082	0.025170598764198	0.497282693385691	0.489041439497857	TRINITY_DN17611_c0_g1/TRINITY_DN4312_c0_g1/TRINITY_DN486_c0_g1/TRINITY_DN9077_c0_g1	4	interaction_vs_self	significant	up	FALSE	603	map00603	ko,map
map04626	map04626	4/379	8/2403	0.5	3.17018469656992	2.6600499003082	0.025170598764198	0.497282693385691	0.489041439497857	TRINITY_DN14186_c0_g1/TRINITY_DN14198_c0_g1/TRINITY_DN2403_c0_g1/TRINITY_DN4797_c0_g1	4	interaction_vs_self	significant	up	FALSE	4626	map04626	ko,map
map00460	map00460	10/379	33/2403	0.303030303030303	1.92132405852722	2.30566422690584	0.0260066140242731	0.497282693385691	0.489041439497857	TRINITY_DN10644_c0_g1/TRINITY_DN111_c0_g1/TRINITY_DN1264_c0_g1/TRINITY_DN15863_c0_g1/TRINITY_DN15920_c0_g1/TRINITY_DN16116_c0_g1/TRINITY_DN17196_c0_g1/TRINITY_DN2435_c0_g1/TRINITY_DN2554_c0_g1/TRINITY_DN5016_c0_g1	10	interaction_vs_self	significant	up	FALSE	460	map00460	ko,map
map00052	map00052	11/379	38/2403	0.289473684210526	1.83537008748785	2.24572202521505	0.0279656523533931	0.497282693385691	0.489041439497857	TRINITY_DN10987_c0_g1/TRINITY_DN11443_c0_g1/TRINITY_DN15838_c0_g1/TRINITY_DN15996_c0_g1/TRINITY_DN2242_c0_g1/TRINITY_DN3417_c0_g1/TRINITY_DN4312_c0_g1/TRINITY_DN5830_c0_g1/TRINITY_DN9_c0_g2/TRINITY_DN9077_c0_g1/TRINITY_DN9113_c0_g1	11	interaction_vs_self	significant	up	FALSE	52	map00052	ko,map
map00600	map00600	9/379	29/2403	0.310344827586207	1.96770084614685	2.26830063764132	0.0292519231403348	0.497282693385691	0.489041439497857	TRINITY_DN1823_c0_g1/TRINITY_DN2630_c0_g1/TRINITY_DN2993_c0_g1/TRINITY_DN3417_c0_g1/TRINITY_DN4312_c0_g1/TRINITY_DN4476_c0_g1/TRINITY_DN6550_c0_g1/TRINITY_DN763_c0_g1/TRINITY_DN9077_c0_g1	9	interaction_vs_self	significant	up	FALSE	600	map00600	ko,map
map00940	map00940	8/379	25/2403	0.32	2.02891820580475	2.23741107451793	0.0326781303652821	0.524665537531474	0.515970479451823	TRINITY_DN10644_c0_g1/TRINITY_DN12464_c0_g1/TRINITY_DN1264_c0_g1/TRINITY_DN15920_c0_g1/TRINITY_DN2435_c0_g1/TRINITY_DN2554_c0_g1/TRINITY_DN4684_c0_g1/TRINITY_DN5016_c0_g1	8	interaction_vs_self	significant	up	FALSE	940	map00940	ko,map
map00640	map00640	9/379	31/2403	0.290322580645161	1.84075240445995	2.03841438295743	0.0441470002861026	0.641655413796278	0.631021532416664	TRINITY_DN17611_c0_g1/TRINITY_DN1972_c0_g1/TRINITY_DN3814_c0_g1/TRINITY_DN3896_c0_g1/TRINITY_DN39_c0_g1/TRINITY_DN4021_c0_g1/TRINITY_DN4033_c0_g1/TRINITY_DN4645_c0_g1/TRINITY_DN8903_c0_g1	9	interaction_vs_self	significant	up	FALSE	640	map00640	ko,map
map00562	map00562	9/379	32/2403	0.28125	1.78322889182058	1.92973984410921	0.0532140066440813	0.641655413796278	0.631021532416664	TRINITY_DN10741_c0_g1/TRINITY_DN15788_c0_g1/TRINITY_DN16277_c0_g1/TRINITY_DN1841_c0_g2/TRINITY_DN3814_c0_g1/TRINITY_DN4021_c0_g1/TRINITY_DN4268_c0_g1/TRINITY_DN5491_c0_g1/TRINITY_DN8872_c0_g1	9	interaction_vs_self	significant	up	FALSE	562	map00562	ko,map
