gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene_7226	onu_vs_self	2203.44899453761	1.41238908952732	0.126523035756846	11.1630983328733	6.17995401042985e-29	1.21610129492597e-27
gene_7128	onu_vs_self	8097.79090903059	-0.776153175810661	0.0695673290452848	-11.156863235405	6.62893705344677e-29	1.30146103618129e-27
gene_2738	onu_vs_self	17756.516539123	1.15772325410695	0.104041936274225	11.1274673998331	9.22184471679276e-29	1.80638422827794e-27
gene_6223	onu_vs_self	2012.0579427356	1.19993596839358	0.107967284510991	11.1138848571432	1.07383831494121e-28	2.0986429168714e-27
gene_1501	onu_vs_self	456.23088957473	-1.41344675901268	0.127454236635896	-11.0898373904237	1.4054300612684e-28	2.74042854771242e-27
gene_6335	onu_vs_self	993.056450927657	-1.64517507036057	0.14836576918319	-11.088643151435	1.42431722944791e-28	2.77094442819866e-27
gene_6381	onu_vs_self	420.154658577109	-1.18472126912554	0.106894017235801	-11.0831391668266	1.51467039184452e-28	2.94004048847825e-27
gene_7609	onu_vs_self	3763.16284317529	-0.952149223571044	0.0859357852602967	-11.0797756800268	1.57266079441227e-28	3.0456960181378e-27
gene_1014	onu_vs_self	1902.86994548189	-0.724734666702593	0.06541408469521	-11.0791837886201	1.58309120194464e-28	3.05897532475082e-27
gene_1078	onu_vs_self	1086.98170780405	-0.961506023751986	0.0867960718123732	-11.0777596690144	1.60846932275195e-28	3.10101292854881e-27
gene_1145	onu_vs_self	10278.1109139446	-1.02124224523527	0.0926144000110848	-11.0268192107603	2.83722988869863e-28	5.45508196133714e-27
gene_3933	onu_vs_self	2777.38966311696	0.716431476307454	0.064972663170384	11.0266601574987	2.84225064807987e-28	5.45508196133714e-27
gene_5877	onu_vs_self	1223.72999221896	1.41438071499962	0.128274938137744	11.026165637132	2.85791730743706e-28	5.47287967598686e-27
gene_6623	onu_vs_self	1791.04679023335	-1.0563577276224	0.0959447950654056	-11.0100576785044	3.41784841893804e-28	6.5305318004709e-27
gene_1894	onu_vs_self	1489.72440562493	0.826035304213503	0.0750561894240656	11.0055587760581	3.59281676474669e-28	6.84955712833668e-27
gene_6865	onu_vs_self	10766.7461257835	0.853244798591199	0.0776642297643595	10.9863292429478	4.44644261635118e-28	8.45812195465913e-27
gene_1416	onu_vs_self	1306.08937539237	-1.2399873956678	0.112897388123969	-10.9833133987671	4.59745572720255e-28	8.72599135806072e-27
gene_619	onu_vs_self	724.035439192184	1.24536714466802	0.113469294753874	10.9753669252051	5.02016253996923e-28	9.50721047392402e-27
gene_8289	onu_vs_self	14917.2979838154	-0.851222976791442	0.0776144429050918	-10.9673270196931	5.48705682901215e-28	1.03684782464336e-26
gene_6904	onu_vs_self	276.620885248298	-1.85586654238028	0.169595305220336	-10.9429122461212	7.18540380155616e-28	1.35478098108636e-26
gene_7501	onu_vs_self	42337.7659400867	-0.700331739386979	0.0640471312158926	-10.9346308896533	7.87256943871986e-28	1.48108119550422e-26
gene_3519	onu_vs_self	14483.1976078143	0.748872186146436	0.0684924502317994	10.9336457319314	7.95853546877236e-28	1.49397069326078e-26
gene_6240	onu_vs_self	3322.03114516275	-1.61524101571576	0.147913351792658	-10.9201839870411	9.23086255437698e-28	1.72901933184829e-26
gene_1390	onu_vs_self	1208.97100293653	0.830082137975076	0.0760565131683683	10.9140177927629	9.87913716728967e-28	1.84640642253274e-26
gene_5297	onu_vs_self	1460.68180463877	0.924122577488445	0.0846776912947485	10.9134125335531	9.94515370328577e-28	1.85469533115743e-26
gene_3254	onu_vs_self	4125.11309730331	-0.992406193952612	0.0909887462608647	-10.9069114009702	1.0682426839275e-27	1.98786029878683e-26
gene_1963	onu_vs_self	5437.90853569956	0.844193486682813	0.0774110248746817	10.9053392336486	1.08687111029797e-27	2.01813811369862e-26
gene_1919	onu_vs_self	37722.5070825853	-1.1423736178144	0.104793777122941	-10.9011589158982	1.13798514218405e-27	2.10847463573494e-26
gene_5770	onu_vs_self	2123.86138357076	-0.774120615204332	0.0710244955630395	-10.8993468952869	1.16087532580724e-27	2.1462403431771e-26
