gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene_5609	interaction_vs_self	283.558524513024	1.21810876671752	0.263252925555206	4.62714237324618	3.7074565985347e-06	1.09646063831803e-05
gene_8254	interaction_vs_self	22734.4614499102	0.242105644319346	0.0523938591233427	4.62087825501448	3.82118972052892e-06	1.12946767982485e-05
gene_1419	interaction_vs_self	1630.14501885749	-0.479659900317082	0.103821611117681	-4.62003907619381	3.8366777773986e-06	1.13365418621098e-05
gene_8272	interaction_vs_self	399.427911499954	0.521729189626469	0.113042782207382	4.61532509585031	3.92480458151774e-06	1.15929355478923e-05
gene_2017	interaction_vs_self	104.184118725872	1.22332428193034	0.265129417316983	4.61406468701192	3.94869439661318e-06	1.16594770731317e-05
gene_3746	interaction_vs_self	1132.80714594554	0.462486134102551	0.10025269321911	4.61320408711367	3.96508622801979e-06	1.17038407282239e-05
gene_758	interaction_vs_self	303.875619632402	-0.70016178469178	0.151808875449486	-4.61212681154968	3.98569700596284e-06	1.17606226718518e-05
gene_5368	interaction_vs_self	1826.01230381864	0.467417344314672	0.101407869814568	4.60928077051003	4.04064351988373e-06	1.19186452550671e-05
gene_706	interaction_vs_self	648.369751185111	0.506824194112531	0.109978179885558	4.60840681887923	4.05766147619753e-06	1.19647200262662e-05
gene_6255	interaction_vs_self	1003.66280909226	-0.51653640979989	0.11209777506776	-4.60790956366133	4.0673748782628e-06	1.19892317348242e-05
gene_8091	interaction_vs_self	816.238124203145	0.944519246302659	0.205024670682669	4.60685654637416	4.0880181714626e-06	1.20459330628984e-05
gene_3642	interaction_vs_self	310.331942817511	1.03292492097317	0.224318728179772	4.60471994182032	4.1302130261707e-06	1.21618931902378e-05
gene_2595	interaction_vs_self	7535.27524898009	0.221065805051641	0.0480084017036009	4.60473161378041	4.12998139209817e-06	1.21618931902378e-05
gene_17	interaction_vs_self	5985.56051556044	0.455550183423163	0.0989357223227745	4.6045065698004	4.13444966218512e-06	1.21701819492107e-05
gene_6914	interaction_vs_self	3267.24115375692	0.316312912575599	0.068710003782741	4.6035932929908	4.15263045622512e-06	1.22194969767229e-05
gene_2701	interaction_vs_self	1839.39982527015	0.394700169854749	0.085777669719167	4.601432647296	4.19594842017923e-06	1.23427211260255e-05
gene_222	interaction_vs_self	6727.63091410922	0.400920170547456	0.0872406484450999	4.59556614597785	4.31575854215764e-06	1.26907911785879e-05
gene_5845	interaction_vs_self	519.547407572821	0.586058452271782	0.127580154525769	4.59364902362936	4.35561714014639e-06	1.28035998350457e-05
gene_6907	interaction_vs_self	5116.24994412312	0.778247542400231	0.169443707667978	4.59295628684656	4.37010628576587e-06	1.28417816018386e-05
gene_5862	interaction_vs_self	240.193177616062	0.890756043347068	0.194089101575702	4.58941813896562	4.44483265707059e-06	1.30568865972973e-05
gene_6941	interaction_vs_self	1517.20630258591	0.620329664019091	0.13525273648624	4.58644815724081	4.50850288588781e-06	1.32393772566723e-05
gene_1528	interaction_vs_self	45816.1922698519	0.388014865935956	0.0846414166194457	4.58421989415065	4.55684493109747e-06	1.33767464369665e-05
gene_3914	interaction_vs_self	2991.17269016175	-0.292579456705887	0.0638611652824263	-4.58149260841003	4.61668925417362e-06	1.35477751168071e-05
gene_5792	interaction_vs_self	12322.2362771506	-0.401051835523472	0.0875396382215706	-4.58137414856998	4.61930558277499e-06	1.35508073298677e-05
gene_7940	interaction_vs_self	9387.32003534487	0.400012809417107	0.0873142404512433	4.58130091208291	4.62092380944484e-06	1.35509105203316e-05
gene_4480	interaction_vs_self	19.8151585720003	2.68525032035596	0.586305323403872	4.57995213955485	4.6508234355599e-06	1.36339207562989e-05
gene_3348	interaction_vs_self	297.402193945877	-0.642619871030801	0.140329349098124	-4.57936899986229	4.66380779495908e-06	1.36673039112803e-05
gene_5742	interaction_vs_self	375.215763531523	0.607355773902343	0.132698507656324	4.57696009268873	4.71781416020577e-06	1.38208381969067e-05
gene_8518	interaction_vs_self	637.724816583581	-0.531343885527477	0.116143188623003	-4.57490354645075	4.76439432035764e-06	1.39525198023474e-05
gene_2727	interaction_vs_self	427.214773537428	-0.685651475137091	0.149892656227008	-4.57428330643958	4.7785288152366e-06	1.39891267641673e-05
gene_7680	interaction_vs_self	1285.43244734623	-0.409976505512789	0.0896370459579271	-4.57373958647878	4.79095254273269e-06	1.40207021421511e-05
gene_8121	interaction_vs_self	2510.11251901933	0.337954444455394	0.0739024268906424	4.57298168239433	4.80832189860278e-06	1.40667243513465e-05
gene_3024	interaction_vs_self	5189.53476113069	0.519898980444749	0.113707441802573	4.57225114032055	4.82512125828854e-06	1.41110481622651e-05
gene_7177	interaction_vs_self	711.60192754011	-0.825096669729958	0.180483102247141	-4.57160066209483	4.8401267894676e-06	1.41500974446184e-05
gene_5752	interaction_vs_self	376.120065098416	-0.589978854144756	0.129115321375502	-4.56939461451627	4.89135044236151e-06	1.42949674928694e-05
gene_7131	interaction_vs_self	1561.14485839419	0.404648062780404	0.0886386956396064	4.56514008763905	4.99160897932714e-06	1.45829941512083e-05
gene_6340	interaction_vs_self	2274.68196415614	0.308703054857659	0.0676585177831549	4.56266357839896	5.05087133578075e-06	1.47510947233993e-05
gene_926	interaction_vs_self	469.964861630461	0.688021651824408	0.150822986163681	4.56178245322454	5.07211852983902e-06	1.48080950257237e-05
gene_4100	interaction_vs_self	1342.56999338604	-0.700695551736748	0.153770433507335	-4.55676384435323	5.19477737997348e-06	1.51610277438026e-05
gene_862	interaction_vs_self	2075.97377618492	-0.701449150617122	0.153988202347241	-4.55521358081294	5.2332377957849e-06	1.52680693701154e-05
gene_4510	interaction_vs_self	2725.72272713724	-0.427319470708418	0.09381946832393	-4.55469934271013	5.24605561530623e-06	1.53002507894451e-05
gene_1779	interaction_vs_self	30.4335181175514	1.9599639497257	0.430324503295582	4.55461851397162	5.24807307175029e-06	1.53009214898442e-05
gene_828	interaction_vs_self	1068.93304521944	0.535815729398273	0.117666584632078	4.55367792881616	5.27160442776337e-06	1.53642948252143e-05
gene_1849	interaction_vs_self	139.808498232398	-0.987100656361451	0.216816508186453	-4.55270064359024	5.29616093607764e-06	1.54306118491575e-05
gene_3001	interaction_vs_self	3897.48444500119	-0.296649841375064	0.0651849330108128	-4.5508958538909	5.34179855295023e-06	1.55582836383988e-05
gene_2325	interaction_vs_self	970.866868215371	-0.409824523634917	0.0901065734968473	-4.54822004356048	5.41015518432562e-06	1.57466604480882e-05
gene_3108	interaction_vs_self	1480.98900936948	0.368416783894172	0.0810013546450145	4.54827929123834	5.40863260929927e-06	1.57466604480882e-05
gene_6706	interaction_vs_self	1534.72819809418	-0.758566895229081	0.166872908451192	-4.54577619740445	5.47331708230969e-06	1.59250830131104e-05
gene_2111	interaction_vs_self	535.640150218601	-0.668493254720313	0.147229681355003	-4.54047885295921	5.61266084056004e-06	1.63249666310547e-05
gene_8478	interaction_vs_self	4163.71031043933	0.576940917310255	0.12711201178118	4.53883869215636	5.6564884865443e-06	1.64468551103326e-05
gene_88	interaction_vs_self	355.441292925206	0.68776883485951	0.151591812066941	4.53697878191337	5.70658454876411e-06	1.65868807257796e-05
gene_332	interaction_vs_self	733.228899914231	0.413813123170306	0.0912172472715398	4.53656666417972	5.71774213631655e-06	1.66136702942531e-05
gene_4080	interaction_vs_self	16061.1232252627	0.200679731944356	0.0442598212466195	4.53412883947614	5.7841715916746e-06	1.68009870460586e-05
gene_4281	interaction_vs_self	4619.30513513948	0.435151733636336	0.095995214058795	4.53305654769221	5.81362433325741e-06	1.68808087831355e-05
gene_3490	interaction_vs_self	7856.99865911052	0.814769902427259	0.179754423809224	4.53268345313152	5.82390577729571e-06	1.69003161974425e-05
gene_5263	interaction_vs_self	3601.52968592211	0.43807817015221	0.096649043618922	4.5326694786501	5.82429121290366e-06	1.69003161974425e-05
gene_7364	interaction_vs_self	476.303750877902	-1.05376984052074	0.232652059797265	-4.5293810913989	5.91567153724379e-06	1.71596571869898e-05
gene_6476	interaction_vs_self	663.950923812375	-0.50304206186959	0.111095799105669	-4.52800255202375	5.9543862792118e-06	1.7266106554896e-05
gene_4509	interaction_vs_self	79432.3868962023	-0.439381775473313	0.097061131906572	-4.5268560838158	5.9867681347614e-06	1.73541263913165e-05
gene_6963	interaction_vs_self	877.053478753135	0.480620664222561	0.106194895217343	4.5258358533986	6.0157260807077e-06	1.74321649461266e-05
gene_7173	interaction_vs_self	376.567238378779	0.807470459121182	0.178459488173903	4.52467093447185	6.048954737527e-06	1.75225220146298e-05
gene_5879	interaction_vs_self	302.743356593045	-0.864573687797298	0.19109152583265	-4.52439575240221	6.0568297593026e-06	1.75393987617153e-05
gene_2834	interaction_vs_self	11784.158201884	0.330205879382835	0.0729848971279915	4.52430423795436	6.05945084692188e-06	1.75410548696825e-05
gene_5475	interaction_vs_self	2957.65904865758	0.375381149536396	0.0829824609271236	4.52362035715067	6.07907243729576e-06	1.75919067150952e-05
gene_5702	interaction_vs_self	33.7740089339307	-1.72199387476302	0.380678301404723	-4.52348838483511	6.08286591818022e-06	1.75969355389059e-05
gene_6986	interaction_vs_self	19441.6323820004	-0.335456411630122	0.0741717668995463	-4.5226967841341	6.10566769058005e-06	1.76569308889747e-05
gene_7649	interaction_vs_self	8959.54686340314	0.505466922189547	0.11177801023232	4.52206047628673	6.12405558433531e-06	1.77041255663324e-05
gene_5240	interaction_vs_self	2108.34162711393	-0.637261668045111	0.140928194135321	-4.52188912201064	6.12901639471974e-06	1.7712484921945e-05
gene_414	interaction_vs_self	1827.58587963562	-0.443277663777967	0.0980432421318654	-4.52124648409496	6.1476554292181e-06	1.77603545305795e-05
gene_6042	interaction_vs_self	380.644781878323	-0.599992110754566	0.132715762142601	-4.52088057264731	6.15829252696769e-06	1.77850823315936e-05
gene_4631	interaction_vs_self	14785.8253319265	0.56229927352795	0.124381326435864	4.52076923152843	6.16153272247793e-06	1.77884384837811e-05
gene_7123	interaction_vs_self	113.254663082572	1.44451815806003	0.319646037994359	4.51911798163918	6.20977852449516e-06	1.79216804348208e-05
gene_3792	interaction_vs_self	6080.24301225478	-0.464438411159796	0.102780969332701	-4.51871989703085	6.22146362338409e-06	1.79493524152908e-05
gene_3028	interaction_vs_self	1225.70359368774	-0.665576442959727	0.147423915272874	-4.51471148170077	6.3403024132871e-06	1.8286047391421e-05
gene_507	interaction_vs_self	3545.90779208031	0.361199314177697	0.0800547067531786	4.51190603060144	6.42476527564938e-06	1.85234054427614e-05
gene_6654	interaction_vs_self	1200.79129231398	-0.646175464595744	0.14328353837696	-4.50976763915295	6.48986708244522e-06	1.87048020962058e-05
gene_3574	interaction_vs_self	615.141264629719	0.7282177481071	0.161490139131203	4.50936355634357	6.50223978882686e-06	1.87341543562295e-05
gene_1658	interaction_vs_self	827.192393507215	-0.596463859118501	0.132318755140327	-4.50778015925208	6.55094001735951e-06	1.88681179504029e-05
gene_2622	interaction_vs_self	2264.57600923397	-0.557648951042111	0.123775728902642	-4.50531744782323	6.62737924194973e-06	1.90818588331953e-05
gene_4439	interaction_vs_self	350.733101276096	-0.562642839181108	0.124915793808826	-4.50417695013162	6.66306712876469e-06	1.91781622805063e-05
gene_3250	interaction_vs_self	845.340561500956	-0.465325975473845	0.103341521126171	-4.50279781449824	6.7064679508226e-06	1.92965934988375e-05
gene_378	interaction_vs_self	3012.22813178741	0.466535047341658	0.103615142489833	4.50257593756081	6.71347553002402e-06	1.93102656374347e-05
gene_7984	interaction_vs_self	884.994551257425	-0.856978106713421	0.190340483298315	-4.50234281148854	6.72084593865832e-06	1.93249718625849e-05
gene_1565	interaction_vs_self	741.390265076009	-0.390474729410823	0.0867640473708467	-4.50042086835641	6.7819048805323e-06	1.94939911945455e-05
gene_15	interaction_vs_self	125.0330330668	-1.0845807401518	0.241023107698119	-4.49990355908214	6.79842989185918e-06	1.95349311427709e-05
gene_7048	interaction_vs_self	226.285571658659	-0.814663544486048	0.181046267382792	-4.49975332970317	6.80323605580369e-06	1.95421814220401e-05
gene_6607	interaction_vs_self	435.553776799806	0.66501207186045	0.147795438652361	4.49954395023425	6.80993998141086e-06	1.9554876296839e-05
gene_6668	interaction_vs_self	203.876814724852	0.785950046769594	0.17471975737464	4.49834671578861	6.8483946484548e-06	1.96587049600178e-05
gene_1704	interaction_vs_self	1270.52297799962	0.446835138483379	0.0994360781116012	4.49369229930687	6.99987522250859e-06	2.00868025158141e-05
gene_2825	interaction_vs_self	646.64946602168	0.601957555937821	0.133965256327608	4.493385616833	7.00996810773882e-06	2.01090237943178e-05
gene_8071	interaction_vs_self	626.15791418798	-0.487300106273853	0.108609167503795	-4.48673088537231	7.23243340255027e-06	2.07402445312664e-05
gene_2257	interaction_vs_self	528.334753924034	-0.694605638134689	0.154823786509102	-4.48642714273012	7.24274685541413e-06	2.07628643946232e-05
gene_2154	interaction_vs_self	553.505909304549	0.790799529365618	0.176282153796012	4.48598744873916	7.2577013985166e-06	2.07987693241721e-05
gene_3126	interaction_vs_self	435.205736839369	0.671392494131369	0.149700871522166	4.48489369036143	7.29502968631201e-06	2.08987463570384e-05
gene_402	interaction_vs_self	26788.7546381645	-0.61195917169617	0.136556355928301	-4.48136718013682	7.41663840041499e-06	2.12400216485622e-05
gene_3668	interaction_vs_self	1316.43555978973	0.896866181869679	0.200204197278842	4.47975713826087	7.47280166134301e-06	2.13937064284603e-05
gene_3005	interaction_vs_self	2775.53422994302	0.551891930323189	0.123231017522684	4.47851475560201	7.51641757390262e-06	2.1511378947712e-05
gene_2938	interaction_vs_self	1706.13826358172	0.27796393351877	0.0621097575739838	4.4753665829023	7.62803200811981e-06	2.18235140339257e-05
gene_503	interaction_vs_self	4983.65944976258	-0.537419815392657	0.12011684567098	-4.47414192730917	7.67187729491453e-06	2.19416203289236e-05
gene_7987	interaction_vs_self	490.879829341858	-0.685313745465957	0.153198711841763	-4.47336493386322	7.69982014737742e-06	2.20141818508854e-05
gene_7287	interaction_vs_self	2849.28468852938	-0.39064920186533	0.0873535361789087	-4.47204794394634	7.74740516239427e-06	2.2142834120232e-05
gene_2001	interaction_vs_self	2382.79522968169	0.732839137787108	0.163925811264001	4.47055367386211	7.80173607511965e-06	2.22832368378459e-05
gene_1031	interaction_vs_self	368.903645971922	-0.533435000953032	0.11932136048396	-4.47057424412071	7.80098568410359e-06	2.22832368378459e-05
gene_7774	interaction_vs_self	1171.97718169349	0.39758606931195	0.0889370436767424	4.47042146753885	7.80656053186835e-06	2.22895791036668e-05
gene_2436	interaction_vs_self	1822.50977407733	0.328405103774641	0.0734707230406992	4.46987711816475	7.82645492784842e-06	2.23389310378068e-05
gene_3564	interaction_vs_self	4501.75758795447	0.310649951242576	0.0695814745440191	4.46454969915952	8.02373229315163e-06	2.28943828097926e-05
