gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	shrunk_log2FoldChange	shrunk_lfcSE
gene_1	interaction_vs_self	1029.21093673536	-0.911002088340821	0.162731770183571	-5.59818213317017	2.16611120535563e-8	8.20075715074931e-8	-0.8793032633340714	0.16274381721239492
gene_2	interaction_vs_self	220.107912912225	-0.709139876990365	0.276071938853243	-2.56867785960433	0.0102087309156369	0.0182626408856535	-0.6203810212880696	0.2702063876780167
gene_3	interaction_vs_self	596.514151919306	-0.385226700578366	0.178123901246061	-2.16268955420088	0.0305650650599394	0.0499506194222539	-0.35774627995093344	0.17337547026153635
gene_4	interaction_vs_self	78.8179022753935	-1.5766280992592001	0.37480275363419	-4.2065542047698	2.59293912862925e-5	6.91665906546163e-5	-1.4312669023613118	0.38216584488993954
gene_5	interaction_vs_self	101.080783046542	-0.521420281239746	0.26397333614042	-1.97527632473599	0.0482367984557746	0.0751716537598463	-0.4519645185178548	0.2532111255976208
gene_6	interaction_vs_self	12926.530433202	-0.257961651119628	0.155947412889023	-1.65415793914582	0.0980954263838207	0.14107809977243	-0.24182665066318645	0.15189459741901246
gene_7	interaction_vs_self	46.3291310521539	1.50295955645656	0.42741612828087	3.51638475249327	4.3746653335124e-4	9.9593444826772e-4	1.3104102420150097	0.43586501119900667
gene_8	interaction_vs_self	1111.62069404125	0.466905887226645	0.135506706478183	3.44562936670458	5.6973118950628e-4	0.00127334177080256	0.4489750492397053	0.13388334577119193
gene_9	interaction_vs_self	83.7622432437479	-0.255599892568703	0.275159482401935	-0.928915443282232	0.352932908943559	0.432055657827311	-0.21280920580164928	0.25279085105491406
gene_10	interaction_vs_self	204.739190306532	0.34726743464837	0.219666893970164	1.58088198167693	0.113905024899103	0.161294791254974	0.3103197970094507	0.2098370420696804
gene_11	interaction_vs_self	358.002816578833	-0.643693528057465	0.204911266845585	-3.1413281366443	0.00168183484301996	0.00347238452876287	-0.5962831264889362	0.20188479212707416
gene_12	interaction_vs_self	63.3328414562614	0.154109472701189	0.29532622605814	0.521827928247897	0.60179014249592	0.672018634731162	0.12455245329709089	0.26573386386068343
gene_13	interaction_vs_self	246.540786874651	-0.557814750025377	0.223715078433177	-2.49341597326438	0.0126520526305854	0.0222659478860632	-0.5050521400332509	0.21792021550651455
gene_14	interaction_vs_self	1337.977212241	-1.04988283891125	0.182518773847807	-5.75219094878804	8.809421486089421e-9	3.47986377115484e-8	-1.0103893602183602	0.18305087971157408
gene_15	interaction_vs_self	125.0330330668	-1.0845807401518	0.241023107698119	-4.49990355908214	6.79842989185918e-6	1.95349311427709e-5	-1.016646459719612	0.24187746544476016
gene_16	interaction_vs_self	0.681391273339703	2.0527701116611	3.13147019716043	0.6555291867451	0.512127101121211	0.590093954179239	0.08921502115570953	0.5991551607058224
gene_17	interaction_vs_self	5985.56051556044	0.455550183423163	0.0989357223227745	4.6045065698004	4.13444966218512e-6	1.21701819492107e-5	0.45106969931593693	0.09833860237444202
gene_18	interaction_vs_self	2029.06043751688	-1.10532260472585	0.110151127175857	-10.0346009438578	1.0739276630861599e-23	1.14338567114646e-22	-1.0912067753383174	0.11029642817715557
gene_19	interaction_vs_self	2282.18340172218	0.413543198560333	0.0646824218519703	6.39344023801013	1.62194406623166e-10	7.51290108600813e-10	0.40971331816474593	0.06448446744024261
gene_20	interaction_vs_self	4594.61691949484	-0.155767792089857	0.0929955793422041	-1.67500211506468	0.093933816679532	0.135639924220107	-0.15343854611807994	0.09190542560217123
gene_21	interaction_vs_self	1818.28257049683	0.157635766525972	0.103337930821435	1.52543954841095	0.127149500785477	0.177988508049662	0.1530006483662009	0.10200187711004381
gene_22	interaction_vs_self	2182.78966814967	-0.263460234461193	0.0906396248355347	-2.90667834227294	0.00365288604409152	0.00711299011315364	-0.25767776614769	0.08984121786700074
gene_23	interaction_vs_self	1297.16033958663	-0.973204941044811	0.116833796994696	-8.32982378454235	8.09627737280801e-17	5.97449433717556e-16	-0.9569829410843034	0.11687337534802536
gene_24	interaction_vs_self	2308.35472995717	0.829109687809346	0.0673010195255102	12.3194224048133	7.12024263517538e-35	1.21412902304983e-33	0.823727972645508	0.067267023660456
gene_25	interaction_vs_self	5.3244199978847	-0.181148753732087	0.937584572880056	-0.193207907821731	0.846796145874999	0.880964390944335	-0.052383742098417854	0.5032119649392658
gene_26	interaction_vs_self	3411.16916531267	0.635533742461717	0.0958623217585136	6.62965105375486	3.3648134755692003e-11	1.65343302817866e-10	0.6252518913704177	0.09566719321628041
gene_27	interaction_vs_self	2790.90916211095	-0.568895570185277	0.0914535083625688	-6.22059864483144	4.95261572001077e-10	2.20345065297776e-9	-0.5596070154810874	0.09118741675403778
gene_28	interaction_vs_self	1802.56596248615	-0.797904495205737	0.11663635050401	-6.84095902999218	7.866475402950859e-12	4.10591642983289e-11	-0.7817203402994858	0.1164893739574949
gene_29	interaction_vs_self	1.02419134013366	-2.01677676313396	2.46511117808799	-0.818128115705607	0.413284036110259	0.492911888995226	-0.1321216476623479	0.6060477729070644
gene_30	interaction_vs_self	2215.79116671243	0.266651664780469	0.0959545608787935	2.77893684613173	0.00545371270220578	0.0102242182941046	0.2606083066516485	0.09500240949562631
