gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene_1322	interaction_vs_self	12434.5333763648	9.6747617639983	0.164948650022777	58.653173352206	0	0
gene_3809	interaction_vs_self	11257.1832101299	5.28800962784066	0.0820541363722832	64.4453754756339	0	0
gene_8391	interaction_vs_self	1505.09387311416	-4.94680712878658	0.128245662917689	-38.572899981511	0	0
gene_4925	interaction_vs_self	6720.10727881526	-3.98669049034517	0.0833450191668786	-47.8335781813521	0	0
gene_6950	interaction_vs_self	26829.7452189817	-2.35835159994586	0.0440615488493177	-53.5240285812689	0	0
gene_4899	interaction_vs_self	11339.2835033494	2.21287219869617	0.0534401177036056	41.4084454485936	0	0
gene_2352	interaction_vs_self	5973.03635894417	2.9301298966644	0.0809179961709491	36.2111030341649	4.0715016604559e-287	4.97886488764321e-284
gene_3064	interaction_vs_self	5260.92854873376	2.32880211645788	0.0644061092421422	36.1580934458015	2.77602542679593e-286	2.97034720667165e-283
gene_4146	interaction_vs_self	5245.56773993899	-3.27865177833536	0.0909406407313853	-36.052657557358	1.25303439480179e-284	1.19177493550037e-281
gene_2419	interaction_vs_self	10359.0184742219	2.24928494622911	0.0635038623340106	35.4196558061079	8.50826529989293e-275	7.28307509670835e-272
gene_4303	interaction_vs_self	21228.7009283425	2.01949056270295	0.0573336085682745	35.2235035110006	8.73411124311314e-272	6.79672656736805e-269
gene_4904	interaction_vs_self	2937.72706931775	-3.29808541778292	0.0945006491507659	-34.9001350511484	7.39944618152851e-267	5.27827160949033e-264
gene_5107	interaction_vs_self	1726.66403373498	-3.15989101338357	0.09072121545613	-34.8307834886934	8.32097970550197e-266	5.47904509839207e-263
gene_6708	interaction_vs_self	2541.04870657103	-3.28962876744178	0.0955542396198962	-34.4268216724611	1.0010451217148e-259	6.12067588705621e-257
gene_7339	interaction_vs_self	7023.28497478721	3.38129937072572	0.0983878681235863	34.3670356438502	7.83997411435712e-259	4.47401189459313e-256
gene_4914	interaction_vs_self	10623.8069253593	-2.20204693722821	0.0642630315688199	-34.2661540153146	2.50656698637354e-257	1.34101333770985e-254
gene_1762	interaction_vs_self	1704.08270423939	-4.11596884321543	0.121759522230002	-33.804081749273	1.71781937507604e-250	8.64972579450052e-248
gene_8037	interaction_vs_self	1715.6533994264	-4.63135634317201	0.137708940509913	-33.631486278399	5.8155314542761e-248	2.76560829158908e-245
gene_1109	interaction_vs_self	27494.895952857	-3.05514787547299	0.0909503055644867	-33.591397593566	2.24022474276916e-247	1.00928019990021e-244
gene_1892	interaction_vs_self	1220.03244393468	4.59642395140765	0.138486558414413	33.1903977110408	1.48112157890503e-241	6.33920035771351e-239
gene_1735	interaction_vs_self	738.714069199106	3.91216449612412	0.118996118547474	32.876404238037	4.77894404387261e-237	1.94798861978807e-234
gene_3599	interaction_vs_self	20972.4868212726	2.05520344678457	0.062992558300706	32.6261308037959	1.74766206642725e-233	6.79999422209876e-231
gene_4334	interaction_vs_self	4962.65751129807	2.71193058550382	0.083748177954733	32.3819652168391	4.92533034727604e-230	1.83307946837752e-227
gene_1514	interaction_vs_self	1870.32807449344	2.5480326284238	0.079513962850571	32.0450966984537	2.5692851938099e-225	9.16378385792199e-223
gene_2976	interaction_vs_self	15050.4571605631	-2.52696488883978	0.0796613210362006	-31.7213530477539	7.8885569307333e-221	2.70104189308308e-218
gene_3211	interaction_vs_self	1502.30296100747	5.83450096130939	0.18518273333637	31.5067223395578	7.0271192504846e-218	2.31354387631339e-215
gene_107	interaction_vs_self	43463.7313789275	2.38557695398873	0.0760496906231596	31.3686608642461	5.41581563805959e-216	1.71701414302926e-213
gene_7351	interaction_vs_self	90126.4367417258	-2.03531135610183	0.0650752020307	-31.2762971545082	9.8035207568501e-215	2.9970763456656e-212
gene_2632	interaction_vs_self	1040.79370861967	5.33501869803337	0.170863116714642	31.2239341094508	5.04390154859701e-214	1.48882059503415e-211
gene_3515	interaction_vs_self	17693.6583463051	2.77341509566872	0.0895267942528477	30.9786038784752	1.04685764468494e-210	2.98703381283436e-208
gene_7477	interaction_vs_self	16726.3379585231	-1.60290387130455	0.051785485385083	-30.9527632962242	2.33216497691077e-210	6.43978458140523e-208
gene_972	interaction_vs_self	20570.5811283141	-3.05790711603574	0.099040823385877	-30.8752190409575	2.57002983155526e-209	6.87482979941031e-207
