gene_id	contrast	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene_1	interaction_vs_self	1029.21093673536	-0.911002088340821	0.162731770183571	-5.59818213317017	2.16611120535563e-08	8.20075715074931e-08
gene_2	interaction_vs_self	220.107912912225	-0.709139876990365	0.276071938853243	-2.56867785960433	0.0102087309156369	0.0182626408856535
gene_3	interaction_vs_self	596.514151919306	-0.385226700578366	0.178123901246061	-2.16268955420088	0.0305650650599394	0.0499506194222539
gene_4	interaction_vs_self	78.8179022753935	-1.5766280992592	0.37480275363419	-4.2065542047698	2.59293912862925e-05	6.91665906546163e-05
gene_5	interaction_vs_self	101.080783046542	-0.521420281239746	0.26397333614042	-1.97527632473599	0.0482367984557746	0.0751716537598463
gene_6	interaction_vs_self	12926.530433202	-0.257961651119628	0.155947412889023	-1.65415793914582	0.0980954263838207	0.14107809977243
gene_7	interaction_vs_self	46.3291310521539	1.50295955645656	0.42741612828087	3.51638475249327	0.000437466533351244	0.000995934448267725
gene_8	interaction_vs_self	1111.62069404125	0.466905887226645	0.135506706478183	3.44562936670458	0.000569731189506286	0.00127334177080256
gene_9	interaction_vs_self	83.7622432437479	-0.255599892568703	0.275159482401935	-0.928915443282232	0.352932908943559	0.432055657827311
gene_10	interaction_vs_self	204.739190306532	0.34726743464837	0.219666893970164	1.58088198167693	0.113905024899103	0.161294791254974
gene_11	interaction_vs_self	358.002816578833	-0.643693528057465	0.204911266845585	-3.1413281366443	0.00168183484301996	0.00347238452876287
gene_12	interaction_vs_self	63.3328414562614	0.154109472701189	0.29532622605814	0.521827928247897	0.60179014249592	0.672018634731162
gene_13	interaction_vs_self	246.540786874651	-0.557814750025377	0.223715078433177	-2.49341597326438	0.0126520526305854	0.0222659478860632
gene_14	interaction_vs_self	1337.977212241	-1.04988283891125	0.182518773847807	-5.75219094878804	8.80942148608942e-09	3.47986377115484e-08
gene_15	interaction_vs_self	125.0330330668	-1.0845807401518	0.241023107698119	-4.49990355908214	6.79842989185918e-06	1.95349311427709e-05
gene_16	interaction_vs_self	0.681391273339703	2.0527701116611	3.13147019716043	0.6555291867451	0.512127101121211	0.590093954179239
gene_17	interaction_vs_self	5985.56051556044	0.455550183423163	0.0989357223227745	4.6045065698004	4.13444966218512e-06	1.21701819492107e-05
gene_18	interaction_vs_self	2029.06043751688	-1.10532260472585	0.110151127175857	-10.0346009438578	1.07392766308616e-23	1.14338567114646e-22
