ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Ethylbenzene degradation	Ethylbenzene degradation	8/98	17/1145	0.470588235294118	5.49819927971189	5.71427729964743	2.77638338896793e-05	0.00133935901380464	0.00116105425345293	gene_484/gene_3441/gene_4064/gene_4304/gene_4970/gene_6527/gene_7462/gene_8586	8	interaction_vs_onu	strong	down	TRUE	Biodegradation of Xenobiotics	METABOLIC
Benzoate degradation via CoA ligation	Benzoate degradation via CoA ligation	16/98	64/1145	0.25	2.92091836734694	4.83658426271625	3.93929121707246e-05	0.00133935901380464	0.00116105425345293	gene_2/gene_330/gene_484/gene_949/gene_2629/gene_3441/gene_3703/gene_4064/gene_4970/gene_5009/gene_5481/gene_7462/gene_7983/gene_7989/gene_8499/gene_8586	16	interaction_vs_onu	strong	down	TRUE	Biodegradation of Xenobiotics	METABOLIC
