ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
gamma-Hexachlorocyclohexane degradation	gamma-Hexachlorocyclohexane degradation	4/79	41/1145	0.0975609756097561	1.41401667181229	0.734637641487129	0.311950198751502	0.848613887585984	0.848613887585984	gene_1576/gene_3671/gene_7242/gene_7987	4	onu_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Ethylbenzene degradation	Ethylbenzene degradation	2/79	17/1145	0.117647058823529	1.70513775130305	0.797061501040164	0.330005505839444	0.848613887585984	0.848613887585984	gene_484/gene_4304	2	onu_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Lipopolysaccharide biosynthesis	Lipopolysaccharide biosynthesis	2/79	18/1145	0.111111111111111	1.61040787623066	0.710300922711708	0.356006505816214	0.848613887585984	0.848613887585984	gene_2644/gene_4675	2	onu_vs_self	strong	up	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Fatty acid metabolism	Fatty acid metabolism	4/79	45/1145	0.0888888888888889	1.28832630098453	0.536960241530534	0.377137522791571	0.848613887585984	0.848613887585984	gene_3213/gene_3428/gene_5183/gene_7226	4	onu_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Tyrosine metabolism	Tyrosine metabolism	5/79	59/1145	0.0847457627118644	1.22827719373525	0.489915944257217	0.385371357525959	0.848613887585984	0.848613887585984	gene_2889/gene_3428/gene_5665/gene_7987/gene_8612	5	onu_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Starch and sucrose metabolism	Starch and sucrose metabolism	6/79	73/1145	0.0821917808219178	1.19126062077337	0.459555061702481	0.39038245810693	0.848613887585984	0.848613887585984	gene_7/gene_1575/gene_3262/gene_5443/gene_5694/gene_7275	6	onu_vs_self	strong	up	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Erythromycin biosynthesis	Erythromycin biosynthesis	1/79	7/1145	0.142857142857143	2.07052441229656	0.773076407700052	0.394562376615628	0.848613887585984	0.848613887585984	gene_7	1	onu_vs_self	strong	up	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Thiamine metabolism	Thiamine metabolism	1/79	7/1145	0.142857142857143	2.07052441229656	0.773076407700052	0.394562376615628	0.848613887585984	0.848613887585984	gene_1198	1	onu_vs_self	strong	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	3/79	33/1145	0.0909090909090909	1.31760644418872	0.50378106185088	0.401222693497806	0.848613887585984	0.848613887585984	gene_1198/gene_2644/gene_4675	3	onu_vs_self	strong	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Caprolactam degradation	Caprolactam degradation	2/79	20/1145	0.1	1.44936708860759	0.551680907105791	0.406879039923817	0.848613887585984	0.848613887585984	gene_1514/gene_3964	2	onu_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	3/79	34/1145	0.0882352941176471	1.27885331347729	0.449165296095014	0.420433599863037	0.848613887585984	0.848613887585984	gene_3213/gene_5118/gene_7226	3	onu_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Fluorene degradation	Fluorene degradation	2/79	21/1145	0.0952380952380952	1.38034960819771	0.478693378863573	0.431612357056089	0.848613887585984	0.848613887585984	gene_3671/gene_7242	2	onu_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
2,4-Dichlorobenzoate degradation	2,4-Dichlorobenzoate degradation	1/79	8/1145	0.125	1.81170886075949	0.626921268276316	0.436591877711731	0.848613887585984	0.848613887585984	gene_6973	1	onu_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Sterol biosynthesis	Sterol biosynthesis	2/79	22/1145	0.0909090909090909	1.31760644418872	0.40931600193148	0.455803257580434	0.848613887585984	0.848613887585984	gene_7231/gene_7987	2	onu_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Benzoate degradation via CoA ligation	Benzoate degradation via CoA ligation	5/79	64/1145	0.078125	1.13231803797468	0.29644501251706	0.456613716365631	0.848613887585984	0.848613887585984	gene_484/gene_3769/gene_7226/gene_7983/gene_8274	5	onu_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
1,2-Dichloroethane degradation	1,2-Dichloroethane degradation	1/79	9/1145	0.111111111111111	1.61040787623066	0.500265062095673	0.475738088495173	0.848613887585984	0.848613887585984	gene_3213	1	onu_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Synthesis and degradation of ketone bodies	Synthesis and degradation of ketone bodies	1/79	9/1145	0.111111111111111	1.61040787623066	0.500265062095673	0.475738088495173	0.848613887585984	0.848613887585984	gene_4305	1	onu_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Styrene degradation	Styrene degradation	2/79	25/1145	0.08	1.15949367088608	0.219407971552672	0.524729439980659	0.880124440249708	0.880124440249708	gene_3769/gene_7987	2	onu_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Fatty acid biosynthesis (path 2)	Fatty acid biosynthesis (path 2)	1/79	11/1145	0.0909090909090909	1.31760644418872	0.288022938210833	0.546149289937336	0.880124440249708	0.880124440249708	gene_7226	1	onu_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Alkaloid biosynthesis I	Alkaloid biosynthesis I	1/79	12/1145	0.0833333333333333	1.207805907173	0.196916229962436	0.577766755629533	0.880124440249708	0.880124440249708	gene_7987	1	onu_vs_self	strong	up	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Lysine degradation	Lysine degradation	4/79	60/1145	0.0666666666666667	0.966244725738397	-0.0730887194012411	0.606670443236043	0.880124440249708	0.880124440249708	gene_1027/gene_3213/gene_7226/gene_8226	4	onu_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Aminosugars metabolism	Aminosugars metabolism	3/79	45/1145	0.0666666666666667	0.966244725738397	-0.0628636380328428	0.613074719611737	0.880124440249708	0.880124440249708	gene_7/gene_1198/gene_6137	3	onu_vs_self	strong	up	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Bile acid biosynthesis	Bile acid biosynthesis	3/79	45/1145	0.0666666666666667	0.966244725738397	-0.0628636380328428	0.613074719611737	0.880124440249708	0.880124440249708	gene_3213/gene_3428/gene_7987	3	onu_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
1,4-Dichlorobenzene degradation	1,4-Dichlorobenzene degradation	1/79	14/1145	0.0714285714285714	1.03526220614828	0.0361235273288973	0.634619749107645	0.880124440249708	0.880124440249708	gene_7987	1	onu_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Methane metabolism	Methane metabolism	1/79	14/1145	0.0714285714285714	1.03526220614828	0.0361235273288973	0.634619749107645	0.880124440249708	0.880124440249708	gene_7987	1	onu_vs_self	strong	up	FALSE	Energy Metabolism	METABOLIC
Toluene and xylene degradation	Toluene and xylene degradation	1/79	14/1145	0.0714285714285714	1.03526220614828	0.0361235273288973	0.634619749107645	0.880124440249708	0.880124440249708	gene_1576	1	onu_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Tryptophan metabolism	Tryptophan metabolism	5/79	78/1145	0.0641025641025641	0.929081467056151	-0.176552060364845	0.639436201611201	0.880124440249708	0.880124440249708	gene_3213/gene_3769/gene_5665/gene_7226/gene_7987	5	onu_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Glycerolipid metabolism	Glycerolipid metabolism	8/79	124/1145	0.0645161290322581	0.935075541037158	-0.20833117641587	0.640090501999787	0.880124440249708	0.880124440249708	gene_1329/gene_3126/gene_3213/gene_3428/gene_5120/gene_5122/gene_6470/gene_8537	8	onu_vs_self	strong	up	FALSE	Metabolism of Complex Lipids	METABOLIC
Pyruvate metabolism	Pyruvate metabolism	3/79	49/1145	0.0612244897959184	0.887367605269956	-0.219282531580464	0.671886274262725	0.885048960301864	0.885048960301864	gene_3213/gene_6248/gene_8537	3	onu_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Nitrogen metabolism	Nitrogen metabolism	1/79	16/1145	0.0625	0.905854430379747	-0.103195524645856	0.683901469324167	0.885048960301864	0.885048960301864	gene_3658	1	onu_vs_self	strong	up	FALSE	Energy Metabolism	METABOLIC
Urea cycle and metabolism of amino groups	Urea cycle and metabolism of amino groups	1/79	16/1145	0.0625	0.905854430379747	-0.103195524645856	0.683901469324167	0.885048960301864	0.885048960301864	gene_2300	1	onu_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	3/79	53/1145	0.0566037735849057	0.820396465249582	-0.364325400377801	0.724024214913528	0.891035530166973	0.891035530166973	gene_1572/gene_5665/gene_5893	3	onu_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Glutathione metabolism	Glutathione metabolism	1/79	18/1145	0.0555555555555556	0.80520393811533	-0.226674372800856	0.726608994172889	0.891035530166973	0.891035530166973	gene_4703	1	onu_vs_self	strong	up	FALSE	Metabolism of Other Amino Acids	METABOLIC
