ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Lysine biosynthesis	Lysine biosynthesis	2/130	15/1145	0.133333333333333	1.17435897435897	0.243165736774175	0.522144827225908	0.80958244791681	0.786638815789613	gene_5467/gene_6747	2	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	4/130	33/1145	0.121212121212121	1.06759906759907	0.140960343469252	0.526928527819297	0.80958244791681	0.786638815789613	gene_1198/gene_3313/gene_4675/gene_6037	4	interaction_vs_self	strong	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Propanoate metabolism	Propanoate metabolism	3/130	25/1145	0.12	1.05692307692308	0.102943997264707	0.553613665163492	0.80958244791681	0.786638815789613	gene_2043/gene_4055/gene_7226	3	interaction_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Nitrogen metabolism	Nitrogen metabolism	2/130	16/1145	0.125	1.10096153846154	0.145485813699212	0.558192145432522	0.80958244791681	0.786638815789613	gene_3658/gene_7930	2	interaction_vs_self	strong	up	FALSE	Energy Metabolism	METABOLIC
Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	6/130	53/1145	0.113207547169811	0.997097242380261	-0.00774085721384353	0.570667271107163	0.80958244791681	0.786638815789613	gene_184/gene_1572/gene_2059/gene_5610/gene_6198/gene_8033	6	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Cysteine metabolism	Cysteine metabolism	1/130	7/1145	0.142857142857143	1.25824175824176	0.245163620461872	0.570859418402879	0.80958244791681	0.786638815789613	gene_6501	1	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Erythromycin biosynthesis	Erythromycin biosynthesis	1/130	7/1145	0.142857142857143	1.25824175824176	0.245163620461872	0.570859418402879	0.80958244791681	0.786638815789613	gene_7	1	interaction_vs_self	strong	up	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Fatty acid metabolism	Fatty acid metabolism	5/130	45/1145	0.111111111111111	0.978632478632479	-0.0523137350478621	0.593630452071829	0.826842415385762	0.803409634382927	gene_2043/gene_4055/gene_4491/gene_5183/gene_7226	5	interaction_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Sphingophospholipid biosynthesis	Sphingophospholipid biosynthesis	1/130	8/1145	0.125	1.10096153846154	0.102511452744424	0.619882507689018	0.839703469261128	0.815906204950084	gene_4047	1	interaction_vs_self	strong	up	FALSE	Metabolism of Complex Lipids	METABOLIC
Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	2/130	18/1145	0.111111111111111	0.978632478632479	-0.0326873797632175	0.6243948873993	0.839703469261128	0.815906204950084	gene_2905/gene_6501	2	interaction_vs_self	strong	up	FALSE	Amino Acid Metabolism	METABOLIC
Androgen and estrogen metabolism	Androgen and estrogen metabolism	2/130	20/1145	0.1	0.880769230769231	-0.192432645187274	0.682730562330303	0.902592946809553	0.877013389612521	gene_1531/gene_2632	2	interaction_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	3/130	31/1145	0.0967741935483871	0.852357320099255	-0.298127362770165	0.703240561456317	0.914212729893212	0.888303867102716	gene_1575/gene_5907/gene_6973	3	interaction_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Fatty acid biosynthesis (path 2)	Fatty acid biosynthesis (path 2)	1/130	11/1145	0.0909090909090909	0.800699300699301	-0.237602116603308	0.736016543569364	0.941135908170663	0.914464040327769	gene_7226	1	interaction_vs_self	strong	up	FALSE	Lipid Metabolism	METABOLIC
Pyrimidine metabolism	Pyrimidine metabolism	5/130	55/1145	0.0909090909090909	0.800699300699301	-0.541911772303387	0.769557900749467	0.965376771963357	0.938017916077756	gene_56/gene_311/gene_548/gene_1785/gene_4830	5	interaction_vs_self	strong	up	FALSE	Nucleotide Metabolism	METABOLIC
Fructose and mannose metabolism	Fructose and mannose metabolism	6/130	66/1145	0.0909090909090909	0.800699300699301	-0.596652871698298	0.782200442422384	0.965376771963357	0.938017916077756	gene_7/gene_131/gene_184/gene_3385/gene_6198/gene_8033	6	interaction_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Selenoamino acid metabolism	Selenoamino acid metabolism	2/130	25/1145	0.08	0.704615384615385	-0.53419587769794	0.796713053278509	0.965376771963357	0.938017916077756	gene_1256/gene_1963	2	interaction_vs_self	strong	up	FALSE	Metabolism of Other Amino Acids	METABOLIC
Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)	1/130	14/1145	0.0714285714285714	0.629120879120879	-0.499478463974579	0.816857268584379	0.965376771963357	0.938017916077756	gene_1596	1	interaction_vs_self	strong	up	FALSE	Carbohydrate Metabolism	METABOLIC
Toluene and xylene degradation	Toluene and xylene degradation	1/130	14/1145	0.0714285714285714	0.629120879120879	-0.499478463974579	0.816857268584379	0.965376771963357	0.938017916077756	gene_7730	1	interaction_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Ubiquinone biosynthesis	Ubiquinone biosynthesis	2/130	27/1145	0.0740740740740741	0.652421652421652	-0.653830780035717	0.831182309903673	0.967645077201291	0.940221937361578	gene_1531/gene_2632	2	interaction_vs_self	strong	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Aminophosphonate metabolism	Aminophosphonate metabolism	1/130	17/1145	0.0588235294117647	0.518099547511312	-0.716108637693113	0.873072927797008	0.99942420306191	0.971100440222099	gene_4047	1	interaction_vs_self	strong	up	FALSE	Metabolism of Other Amino Acids	METABOLIC
Lipopolysaccharide biosynthesis	Lipopolysaccharide biosynthesis	1/130	18/1145	0.0555555555555556	0.489316239316239	-0.781228376340901	0.887701047820402	0.99942420306191	0.971100440222099	gene_4675	1	interaction_vs_self	strong	up	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Fluorene degradation	Fluorene degradation	1/130	21/1145	0.0476190476190476	0.419413919413919	-0.960604857745735	0.922278986993098	0.99942420306191	0.971100440222099	gene_3671	1	interaction_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Inositol phosphate metabolism	Inositol phosphate metabolism	1/130	21/1145	0.0476190476190476	0.419413919413919	-0.960604857745735	0.922278986993098	0.99942420306191	0.971100440222099	gene_3831	1	interaction_vs_self	strong	up	FALSE	Metabolism of Complex Lipids	METABOLIC
Porphyrin and chlorophyll metabolism	Porphyrin and chlorophyll metabolism	2/130	40/1145	0.05	0.440384615384615	-1.28881377509814	0.953351916446525	0.99942420306191	0.971100440222099	gene_1198/gene_3313	2	interaction_vs_self	strong	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Nitorobenzene degradation	Nitorobenzene degradation	1/130	26/1145	0.0384615384615385	0.338757396449704	-1.22006824887963	0.958011336915361	0.99942420306191	0.971100440222099	gene_7730	1	interaction_vs_self	strong	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Glycerolipid metabolism	Glycerolipid metabolism	9/130	124/1145	0.0725806451612903	0.639267990074442	-1.52171849961431	0.959240336009022	0.99942420306191	0.971100440222099	gene_184/gene_1329/gene_2043/gene_2709/gene_4047/gene_4055/gene_5328/gene_6198/gene_8033	9	interaction_vs_self	strong	up	FALSE	Metabolism of Complex Lipids	METABOLIC
N-Glycans biosynthesis	N-Glycans biosynthesis	1/130	35/1145	0.0285714285714286	0.251648351648352	-1.6085327944209	0.986241174388741	0.99942420306191	0.971100440222099	gene_5532	1	interaction_vs_self	strong	up	FALSE	Metabolism of Complex Carbohydrates	METABOLIC
Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	1/130	39/1145	0.0256410256410256	0.225838264299803	-1.75969787276877	0.991646246695249	0.99942420306191	0.971100440222099	gene_4029	1	interaction_vs_self	strong	up	FALSE	TRANSLATION	REGULATORY
Sphingoglycolipid metabolism	Sphingoglycolipid metabolism	1/130	42/1145	0.0238095238095238	0.20970695970696	-1.86670939642549	0.994261365594219	0.99942420306191	0.971100440222099	gene_6533	1	interaction_vs_self	strong	up	FALSE	Metabolism of Complex Lipids	METABOLIC
Purine metabolism	Purine metabolism	3/130	96/1145	0.03125	0.275240384615385	-2.65395482131985	0.99942420306191	0.99942420306191	0.971100440222099	gene_1785/gene_4021/gene_5549	3	interaction_vs_self	strong	up	FALSE	Nucleotide Metabolism	METABOLIC
