ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Glyoxylate and dicarboxylate metabolism	Glyoxylate and dicarboxylate metabolism	8/446	14/1145	0.571428571428571	1.46700832799487	1.40378046456259	0.130211885782639	0.785608111353196	0.732200542379623	gene_231/gene_1596/gene_2100/gene_2603/gene_3565/gene_6174/gene_7236/gene_8289	8	interaction_vs_onu	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Lysine degradation	Lysine degradation	28/446	60/1145	0.466666666666667	1.19805680119581	1.2583236822707	0.131125901357415	0.785608111353196	0.732200542379623	gene_184/gene_620/gene_873/gene_972/gene_1114/gene_1207/gene_1490/gene_1595/gene_1855/gene_2442/gene_3079/gene_3858/gene_4055/gene_4108/gene_4337/gene_4567/gene_5467/gene_5698/gene_6198/gene_6203/gene_6373/gene_6613/gene_7447/gene_7678/gene_7909/gene_8033/gene_8226/gene_8425	28	interaction_vs_onu	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Tetrachloroethene degradation	Tetrachloroethene degradation	7/446	12/1145	0.583333333333333	1.49757100149477	1.38347903875585	0.139118103052128	0.785608111353196	0.732200542379623	gene_184/gene_972/gene_4108/gene_4337/gene_6198/gene_7836/gene_8033	7	interaction_vs_onu	significant	up	FALSE	Biodegradation of Xenobiotics	METABOLIC
Oxidative phosphorylation	Oxidative phosphorylation	5/446	8/1145	0.625	1.60454035874439	1.37003579538494	0.157052610673441	0.837613923591687	0.780670871768568	gene_161/gene_2383/gene_3052/gene_3968/gene_5369	5	interaction_vs_onu	significant	up	FALSE	Energy Metabolism	METABOLIC
Propanoate metabolism	Propanoate metabolism	12/446	25/1145	0.48	1.2322869955157	0.937621901764122	0.230690700827428	0.999971980000289	0.931991428728339	gene_334/gene_873/gene_984/gene_1114/gene_1207/gene_1901/gene_4055/gene_4567/gene_6203/gene_6290/gene_6552/gene_7861	12	interaction_vs_onu	significant	up	FALSE	Carbohydrate Metabolism	METABOLIC
Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	9/446	18/1145	0.5	1.28363228699552	0.968437984159577	0.23202980773743	0.999971980000289	0.931991428728339	gene_463/gene_1194/gene_2905/gene_3626/gene_5063/gene_6497/gene_6501/gene_6665/gene_7604	9	interaction_vs_onu	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Vitamin B6 metabolism	Vitamin B6 metabolism	11/446	23/1145	0.478260869565217	1.22782218756093	0.881262643588508	0.250458002079844	0.999971980000289	0.931991428728339	gene_184/gene_379/gene_972/gene_1033/gene_1198/gene_1383/gene_3313/gene_4108/gene_4337/gene_6198/gene_8033	11	interaction_vs_onu	significant	up	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Urea cycle and metabolism of amino groups	Urea cycle and metabolism of amino groups	8/446	16/1145	0.5	1.28363228699552	0.912243002814954	0.253537373163088	0.999971980000289	0.931991428728339	gene_978/gene_1831/gene_2068/gene_2300/gene_4290/gene_7085/gene_8032/gene_8120	8	interaction_vs_onu	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
Erythromycin biosynthesis	Erythromycin biosynthesis	4/446	7/1145	0.571428571428571	1.46700832799487	0.989565094894778	0.269234796838753	0.999971980000289	0.931991428728339	gene_3007/gene_6002/gene_7157/gene_7768	4	interaction_vs_onu	significant	up	FALSE	Biosynthesis of Secondary Metabolites	METABOLIC
Phenylalanine metabolism	Phenylalanine metabolism	15/446	33/1145	0.454545454545455	1.1669384427232	0.776967383654349	0.273095198987418	0.999971980000289	0.931991428728339	gene_1194/gene_1531/gene_1968/gene_2632/gene_2762/gene_2889/gene_2941/gene_5063/gene_5279/gene_5827/gene_6196/gene_6501/gene_7563/gene_7764/gene_8370	15	interaction_vs_onu	significant	up	FALSE	Amino Acid Metabolism	METABOLIC
