ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	contrast	gene_set	direction	significant_padj_0.05	pathway_class	pathway_type
Valine, leucine and isoleucine degradation	Valine, leucine and isoleucine degradation	10/267	34/1145	0.294117647058824	1.26129103326724	0.852566610785543	0.25248069405392	0.999080029200713	0.999080029200713	gene_1107/gene_4038/gene_4106/gene_4567/gene_4720/gene_5595/gene_6749/gene_7033/gene_7146/gene_7933	10	onu_vs_self	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Sphingophospholipid biosynthesis	Sphingophospholipid biosynthesis	3/267	8/1145	0.375	1.60814606741573	0.951467698220896	0.279721640691825	0.999080029200713	0.999080029200713	gene_217/gene_2806/gene_7789	3	onu_vs_self	significant	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Ubiquinone biosynthesis	Ubiquinone biosynthesis	8/267	27/1145	0.296296296296296	1.27063392980996	0.784448811103217	0.280659485315865	0.999080029200713	0.999080029200713	gene_249/gene_2164/gene_2459/gene_3938/gene_4253/gene_5762/gene_5766/gene_8175	8	onu_vs_self	significant	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Tetrachloroethene degradation	Tetrachloroethene degradation	4/267	12/1145	0.333333333333333	1.4294631710362	0.824371519947879	0.299306870746445	0.999080029200713	0.999080029200713	gene_662/gene_972/gene_3938/gene_4108	4	onu_vs_self	significant	down	FALSE	Biodegradation of Xenobiotics	METABOLIC
Lysine degradation	Lysine degradation	16/267	60/1145	0.266666666666667	1.14357053682896	0.62971996889612	0.311297478252225	0.999080029200713	0.999080029200713	gene_620/gene_662/gene_972/gene_1107/gene_1595/gene_1622/gene_1855/gene_2442/gene_3517/gene_3858/gene_4108/gene_4567/gene_5698/gene_6373/gene_7447/gene_7678	16	onu_vs_self	significant	down	FALSE	Amino Acid Metabolism	METABOLIC
Androgen and estrogen metabolism	Androgen and estrogen metabolism	6/267	20/1145	0.3	1.28651685393258	0.712541716016907	0.314904271076937	0.999080029200713	0.999080029200713	gene_2164/gene_4253/gene_5762/gene_5766/gene_7325/gene_8175	6	onu_vs_self	significant	down	FALSE	Lipid Metabolism	METABOLIC
Porphyrin and chlorophyll metabolism	Porphyrin and chlorophyll metabolism	11/267	40/1145	0.275	1.17930711610487	0.636308562286938	0.318828227514848	0.999080029200713	0.999080029200713	gene_2137/gene_2152/gene_2164/gene_2174/gene_3100/gene_4039/gene_4153/gene_5762/gene_7050/gene_8175/gene_8248	11	onu_vs_self	significant	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Inositol phosphate metabolism	Inositol phosphate metabolism	6/267	21/1145	0.285714285714286	1.22525414660246	0.574276005860192	0.361715752098938	0.999080029200713	0.999080029200713	gene_1131/gene_3139/gene_4145/gene_4725/gene_4801/gene_7058	6	onu_vs_self	significant	down	FALSE	Metabolism of Complex Lipids	METABOLIC
Riboflavin metabolism	Riboflavin metabolism	6/267	21/1145	0.285714285714286	1.22525414660246	0.574276005860192	0.361715752098938	0.999080029200713	0.999080029200713	gene_33/gene_1851/gene_2144/gene_2287/gene_5385/gene_7414	6	onu_vs_self	significant	down	FALSE	Metabolism of Cofactors and Vitamins	METABOLIC
Glutathione metabolism	Glutathione metabolism	5/267	18/1145	0.277777777777778	1.19121930919684	0.450741374187341	0.413955062195221	0.999080029200713	0.999080029200713	gene_936/gene_1730/gene_2508/gene_3038/gene_3913	5	onu_vs_self	significant	down	FALSE	Metabolism of Other Amino Acids	METABOLIC
