organism	contrast_id	contrast_label	story	expected_tested	source_file
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	9000	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	8560	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv
Ophiostoma	interaction_vs_self	Interaction vs distal	Ophiostoma spatial response	8560	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_self_all_genes.tsv
Ophiostoma	onu_vs_self	Control vs distal	Ophiostoma spatial response	8560	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/onu_vs_self_all_genes.tsv
