organism	contrast_id	contrast_label	story	gene_id	base_mean	log2_fold_change	padj	source_file	tested	significant	direction	abs_log2_fold_change	contrast_display
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7307	175.679170500596	1.03465350527153	0.00130008483275191	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Upregulated	1.03465350527153	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7309	33.0223818189601	-1.52782018946457	1.5451272884486e-4	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	1.52782018946457	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7310	175.199934306582	-0.704062715542225	6.9791773867908e-5	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.704062715542225	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7312	3615.43755554293	-0.394731137767748	2.31284203889492e-6	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.394731137767748	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7313	8575.76195925488	-0.674030357091534	1.32545907388762e-5	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.674030357091534	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7316	2527.23696432106	-0.803748662843681	5.82318971488022e-7	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.803748662843681	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7317	8815.36801426547	0.215621962083814	0.00168669572960781	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Upregulated	0.215621962083814	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7319	1229.94851847133	-0.578013350014903	6.571664993578319e-12	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Downregulated	0.578013350014903	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7320	777.31458520689	0.474322812315927	1.4907390090595e-4	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Upregulated	0.474322812315927	Ophiostoma | Interaction vs control
Ophiostoma	interaction_vs_onu	Interaction vs control	Cross-species confrontation	gene_7321	296.103208591643	2.08740662042533	4.85130082307927e-62	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	TRUE	TRUE	Upregulated	2.08740662042533	Ophiostoma | Interaction vs control
