	149	150	151	152	153	154	155	156	157
149	0	12.9679987825485	15.8532288245886	64.9838164701641	64.7948850586959	70.2022054467751	59.5176829554301	53.9919408388237	54.8103695265501
150	12.9679987825485	0	12.9376870834727	65.3756004310941	64.8460822603198	72.2531534581389	62.009372674201	55.0108355987365	56.9127353949838
151	15.8532288245886	12.9376870834727	0	66.1825968705171	65.2053570390311	74.6604367336076	64.2608348816379	55.8289094901658	59.1071122443279
152	64.9838164701641	65.3756004310941	66.1825968705171	0	14.2428438051944	27.4810958447217	60.3360678976321	56.3932852081145	57.2417483963821
153	64.7948850586959	64.8460822603198	65.2053570390311	14.2428438051944	0	31.0648823977463	61.6112301353788	56.2847839673564	58.1829433807345
154	70.2022054467751	72.2531534581389	74.6604367336076	27.4810958447217	31.0648823977463	0	55.891865058215	59.7663503291848	55.4795864660808
155	59.5176829554301	62.009372674201	64.2608348816379	60.3360678976321	61.6112301353788	55.891865058215	0	21.8426174462066	16.8327701470086
156	53.9919408388237	55.0108355987365	55.8289094901658	56.3932852081145	56.2847839673564	59.7663503291848	21.8426174462066	0	18.6867272543112
157	54.8103695265501	56.9127353949838	59.1071122443279	57.2417483963821	58.1829433807345	55.4795864660808	16.8327701470086	18.6867272543112	0
