sample_id	condition	replicate	raw_library_size	size_factor	normalized_library_size
149	interaction	1	17575692	0.737861336057926	23819776.3470022
150	interaction	2	16584298	0.708325219599226	23413394.7812609
151	interaction	3	15318805	0.659202877837699	23238377.0080743
152	self	1	16300846	0.695475883906781	23438405.8127671
153	self	2	13255429	0.571127404963544	23209232.9746392
154	self	3	27812589	1.12552297050658	24710814.1982052
155	onu	1	33529070	1.54708626176668	21672398.5136496
156	onu	2	37813020	1.84647392355099	20478502.0344511
157	onu	3	49633557	2.34651691794503	21152013.2756881
