species	unique_significant_cazyme_genes	family_assignment_rows	unique_families	substrate_assignment_rows	unique_substrates	secreted_genes	status
Fusarium	142	150	95	142	1	72	PASS
Ophiostoma	206	219	113	215	16	85	PASS
