class	fusarium_significant_genes	fusarium_up	fusarium_down	fusarium_secreted	fusarium_secreted_up	fusarium_secreted_down	fusarium_mean_shrunk_lfc	fusarium_median_shrunk_lfc	fusarium_max_abs_shrunk_lfc	ophiostoma_significant_genes	ophiostoma_up	ophiostoma_down	ophiostoma_secreted	ophiostoma_secreted_up	ophiostoma_secreted_down	ophiostoma_mean_shrunk_lfc	ophiostoma_median_shrunk_lfc	ophiostoma_max_abs_shrunk_lfc
AA	18	8	10	11	3	8	0.005836098229572079	-0.170807749832353	1.11583991016828	32	20	12	19	13	6	0.2486350413034836	0.4048897769174239	4.232763967177696
CBM	6	2	4	2	0	2	-0.18152441630738433	-0.3301348422458495	0.400046946094932	15	5	10	8	2	6	-0.7244513063205508	-0.6272120455681354	3.159018810999134
CE	7	4	3	7	4	3	0.16814315690511314	0.194254971120216	0.715267807904972	8	4	4	4	2	2	-0.5123142649449743	-0.4027893215396933	2.647618671513135
GH	83	51	32	49	30	19	0.14473884838061746	0.165572964582315	1.72884630879576	109	46	63	59	24	35	-0.4373437652996663	-0.3514169401422038	4.708929417372554
GT	32	16	16	3	3	0	0.1110326417742814	-0.009016801968706453	3.41628085244577	53	36	17	2	1	1	0.16641955280060677	0.3845875927292821	2.5714387206126452
PL	2	1	1	2	1	1	-0.11825751382064752	-0.11825751382064752	0.368904922963576	0	0	0	0	0	0			
