organism	p05	q25	median	q75	p95	p99	maximum	significant_genes	box_y	rain_y
Fusarium	0.1213185109195624	0.176894948954844	0.257747106911636	0.398797546647178	0.8501652396552525	1.6792444735479435	3.41628085244577	2973	1.38	0.52
Ophiostoma	0.2479568563334057	0.42095898424898304	0.6452587545747219	1.0291950369335852	2.3020168129261678	3.954294543666774	10.3594480425544	5238	1.62	0.86
