organism	direction	cog	foreground_hits	foreground_size	foreground_percent	background_hits	background_size	background_percent	enrichment_ratio	odds_ratio	pvalue	padj	cog_name	label	log2_odds_ratio
Fusarium	Induced	G	130	1213	10.717230008244025	570	6920	8.236994219653178	1.301109327316643	1.4368126519339086	4.729555052062959e-4	0.0113509321249511	Carbohydrate transport and metabolism	Carbohydrate metabolism	0.5228719589792421
Fusarium	Repressed	J	145	1219	11.894995898277276	366	6920	5.289017341040463	2.248999224483026	3.346954926668683	1.1994590111375792e-24	2.8787016267301896e-23	Translation and ribosome biogenesis	Translation	1.7428491224288571
Fusarium	Repressed	C	104	1219	8.531583264971289	382	6920	5.520231213872832	1.5455119422408723	1.8192726674491184	1.027515129208786e-6	1.2330181550505433e-5	Energy production and conversion	Energy production	0.8633617862528089
Fusarium	Repressed	E	119	1219	9.762100082034454	515	6920	7.442196531791907	1.3117229624791926	1.4491667633960994	5.929408162054414e-4	0.00474352652964353	Amino-acid transport and metabolism	Amino-acid metabolism	0.5352236231081657
Fusarium	Repressed	H	52	1219	4.265791632485644	205	6920	2.96242774566474	1.439964785209788	1.6156291279406982	0.00297003646580074	0.01782021879480449	Coenzyme transport and metabolism	Coenzyme metabolism	0.6920960615255012
Ophiostoma	Induced	I	130	2220	5.855855855855856	277	7011	3.950934246184567	1.4821445994731193	1.9649032782107043	4.4657558419971264e-8	1.0717814020793104e-6	Lipid transport and metabolism	Lipid metabolism	0.9744582979901844
Ophiostoma	Induced	C	127	2220	5.7207207207207205	284	7011	4.050777349878762	1.4122525694708794	1.7907233519354355	1.7362462810001593e-6	2.083495537200191e-5	Energy production and conversion	Energy production	0.8405424732149548
Ophiostoma	Induced	O	199	2220	8.963963963963964	498	7011	7.103123662815576	1.2619749267339628	1.4792313978000815	3.0392414191711497e-5	2.4313931353369195e-4	Post-translational modification and protein turnover	Protein turnover	0.5648477524681407
Ophiostoma	Induced	Z	58	2220	2.612612612612613	128	7011	1.8257024675509912	1.4310177364864864	1.809024454226603	7.57909232418112e-4	0.0038648929056621	Cytoskeleton	Cytoskeleton	0.8552119103101722
Ophiostoma	Induced	U	177	2220	7.972972972972973	460	7011	6.561118242761375	1.2151850763807286	1.3800439346674451	8.051860220129388e-4	0.0038648929056621	Intracellular trafficking and secretion	Intracellular trafficking	0.46471419694394667
Ophiostoma	Repressed	P	78	1859	4.195804195804196	212	7011	3.0238197118813295	1.3875841139992082	1.639919924432026	5.471023312055497e-4	0.00633755515044676	Inorganic-ion transport and metabolism	Ion transport	0.7136253712791885
Ophiostoma	Repressed	K	113	1859	6.078536847767617	329	7011	4.692625873627157	1.2953380498388682	1.47886771313267	7.921943938058452e-4	0.00633755515044676	Transcription	Transcription	0.5644930070393439
Ophiostoma	Repressed	B	50	1859	2.6896180742334588	136	7011	1.9398088717729285	1.386537670474322	1.6280388008754871	0.00516779105604462	0.03100674633626776	Chromatin structure and dynamics	Chromatin	0.7031350836112763
Ophiostoma	Repressed	Q	107	1859	5.755782678859602	328	7011	4.678362573099415	1.23029854760624	1.3626111923886342	0.00694918120622444	0.03335606978987735	Secondary-metabolite biosynthesis and transport	Secondary metabolism	0.4463739621187693
Ophiostoma	Repressed	G	144	1859	7.746100053792362	460	7011	6.561118242761375	1.1806066842856142	1.2849537932832389	0.01011617644430087	0.04046470577720348	Carbohydrate transport and metabolism	Carbohydrate metabolism	0.3617164812870964
