response	cog	fusarium_response_hits	fusarium_response_total	fusarium_background_hits	fusarium_background_total	ophiostoma_response_hits	ophiostoma_response_total	ophiostoma_background_hits	ophiostoma_background_total	fusarium_response_percent	ophiostoma_response_percent	fusarium_within_species_or	fusarium_within_species_pvalue	ophiostoma_within_species_or	ophiostoma_within_species_pvalue	interaction_log_odds	interaction_se	interaction_odds_ratio	interaction_ci_lower	interaction_ci_upper	interaction_pvalue	direct_foreground_or	direct_foreground_pvalue	interaction_padj	direct_foreground_padj	cog_name	interaction_direction	log2_interaction_or	label	log2_interaction	log2_ci_lower	log2_ci_upper	supported_in
Induced	J	18	1213	366	6920	109	2220	398	7011	1.483924154987634	4.90990990990991	0.23198667830120015	0.9999999999999748	0.8044025195134021	0.975171746836644	1.2434806767908335	0.26977029292560895	3.4676622952254346	2.043636671059625	5.883962626044156	4.038219970730277e-6	3.4269608128912017	7.29282068509465e-8	8.884083935606609e-5	5.348068502402744e-7	Translation and ribosome biogenesis	Stronger in Ophiostoma	1.793963405847388	Translation	1.793963405847388	1.0311387288328273	2.5567880828619485	Ophiostoma
Induced	U	54	1213	448	6920	177	2220	460	7011	4.451772464962902	7.972972972972973	0.6283281372327689	0.9995969950168038	1.3800439346674471	8.051860220129388e-4	0.786904894751959	0.17889074882468475	2.1965872254459256	1.5469403727529698	3.1190571556456046	1.0885032686654508e-5	1.8591837605322756	6.12925102499171e-5	1.197353595531996e-4	2.660324654055699e-4	Intracellular trafficking and secretion	Stronger in Ophiostoma	1.135263789309903	Intracellular trafficking	1.135263789309903	0.6294175887769426	1.641109989842863	Ophiostoma
Induced	K	97	1213	471	6920	71	2220	329	7011	7.9967023907666945	3.1981981981981984	1.239347634933499	0.04201873759714567	0.5805217235175508	0.9999878597086932	-0.7585166023297728	0.18086743589304213	0.46836067709535256	0.32856625342820867	0.6676331533151423	2.743549916906724e-5	0.3802289017708621	1.4089690657952767e-9	2.0119366057315977e-4	1.5498659723748045e-8	Transcription	Stronger in Fusarium	-1.0943081406131092	Transcription	-1.0943081406131092	-1.60574378414265	-0.5828724970835681	Fusarium
Induced	A	49	1213	306	6920	44	2220	298	7011	4.03957131079967	1.981981981981982	0.8927164346666876	0.783634883687077	0.36122757051638543	0.99999999999758	-0.9048644339936558	0.22953442821930625	0.4045967309483133	0.2580112956825771	0.6344625891707268	8.074668567875076e-5	0.4804418471441799	5.852944915568063e-4	4.441067712331291e-4	0.00160955985178121	RNA processing and modification	Stronger in Fusarium	-1.305443431599446	RNA processing	-1.305443431599446	-1.9544938669577885	-0.6563929962411033	Fusarium
Induced	Z	14	1213	139	6920	58	2220	128	7011	1.1541632316570487	2.612612612612613	0.5214670046762161	0.9953500976810538	1.8090244542266205	7.579092324181111e-4	1.2441318248272426	0.3356055004810636	3.4699209920130825	1.7974069517135731	6.6987343513578175	2.0962478960044216e-4	2.297061083100988	0.00392868135228591	9.223490742419456e-4	0.008643098975029	Cytoskeleton	Stronger in Ophiostoma	1.7949028138903993	Cytoskeleton	1.7949028138903993	0.8459170870617848	2.743888540719014	Ophiostoma
Induced	C	66	1213	382	6920	127	2220	284	7011	5.441055234954658	5.7207207207207205	0.9816635583249852	0.57506721826844	1.7907233519354269	1.7362462810001593e-6	0.6012696768939799	0.18523074041856089	1.824433771851345	1.2689850727663683	2.623008465036959	0.00117015107676701	1.0545064529994057	0.7571297012746502	0.00367761766983918	0.7931834965734431	Energy production and conversion	Stronger in Ophiostoma	0.8674487810918541	Energy production	0.8674487810918541	0.34367509867263885	1.3912224635110695	Ophiostoma
Induced	B	30	1213	163	6920	22	2220	136	7011	2.4732069249793898	0.990990990990991	1.0628019803385906	0.4152485650565194	0.4106795726094293	0.9999895325299936	-0.9509545697785324	0.311082119463271	0.38637202830522094	0.2099941671920116	0.7108928131331894	0.00223620551877856	0.39480477545138015	0.00110111445597317	0.00614956517664105	0.0026916131146011	Chromatin structure and dynamics	Stronger in Fusarium	-1.3719374419301864	Chromatin	-1.3719374419301864	-2.2515788388056093	-0.49229604505476365	Fusarium
Induced	P	71	1213	305	6920	58	2220	212	7011	5.85325638911789	2.612612612612613	1.4540360139985171	0.00543473918305008	0.8078162284662571	0.9270395852413688	-0.587880268286736	0.2093547132839841	0.5555035561089129	0.3685365057974553	0.8373232936094626	0.00498411821557003	0.4316084665840811	3.3495136607209668e-6	0.01218340008250454	1.842232513396532e-5	Inorganic-ion transport and metabolism	Stronger in Fusarium	-0.8481319476937472	Ion transport	-0.8481319476937472	-1.4401205607111554	-0.2561433346763395	Fusarium
Induced	I	70	1213	325	6920	130	2220	277	7011	5.7708161582852435	5.855855855855856	1.3093295611023177	0.03289437027539937	1.9649032782106863	4.465755841997128e-8	0.4059560356216496	0.1856189715247444	1.5007365720571786	1.043043468363114	2.159267880028439	0.02873963547126775	1.0156486152918862	0.93941106671113	0.04987321455926464	0.93941106671113	Lipid transport and metabolism	Stronger in Ophiostoma	0.5856707594102972	Lipid metabolism	0.5856707594102972	0.0607992827715266	1.1105422360490678	Ophiostoma
Induced	O	120	1213	645	6920	199	2220	498	7011	9.89282769991756	8.963963963963964	1.083675875087477	0.24038430879135547	1.479231397800089	3.0392414191711497e-5	0.31120849665170464	0.14294408590048677	1.3650738048353994	1.0315247921503805	1.8064776598952896	0.0294705358759291	0.8968938832758379	0.3893438533962371	0.04987321455926464	0.4282782387358609	Post-translational modification and protein turnover	Stronger in Ophiostoma	0.448978954801924	Protein turnover	0.44897895480192396	0.04477849604996905	0.853179413553879	Ophiostoma
Repressed	J	145	1219	366	6920	78	1859	398	7011	11.894995898277276	4.195804195804196	3.3469549266686407	1.199459011137578e-24	0.6613344906035179	0.9996249360525784	-1.6218128585580731	0.17102327473858983	0.1975402617296275	0.1412790202380096	0.27620629686184106	2.4708733223757353e-21	0.3245128368875818	2.426192915763392e-15	5.435921309226619e-20	5.337624414679462e-14	Translation and ribosome biogenesis	Stronger in Fusarium	-2.339781368291686	Translation	-2.339781368291686	-2.8233808517619163	-1.8561818848214555	Fusarium
Repressed	C	104	1219	382	6920	58	1859	284	7011	8.531583264971289	3.1199569661108124	1.8192726674491115	1.0275151292087875e-6	0.7020019380961137	0.9937935960127168	-0.9524713036238964	0.19161978497729537	0.385786448969247	0.2649945333227644	0.5616386962482145	6.673524490453985e-7	0.34539062282807825	9.702987645831991e-11	4.893917959666255e-6	1.067328641041519e-9	Energy production and conversion	Stronger in Fusarium	-1.3741256263272414	Energy production	-1.3741256263272414	-1.9159654968322304	-0.8322857558222526	Fusarium
Repressed	K	58	1219	471	6920	113	1859	329	7011	4.7579983593109105	6.078536847767617	0.6396891260429938	0.9995467632986595	1.4788677131326682	7.921943938058445e-4	0.8381834227222945	0.18699580910565447	2.3121629368020886	1.60267103924479	3.3357422174674385	7.382042906440455e-6	1.2953962034830824	0.1265660671214747	4.06012359854225e-5	0.19888953404803167	Transcription	Stronger in Ophiostoma	1.209243067316792	Transcription	1.209243067316792	0.680478331447848	1.7380078031857362	Ophiostoma
Repressed	O	118	1219	645	6920	84	1859	498	7011	9.680065627563575	4.518558364712211	1.0522278051821452	0.33401504862064074	0.5416376705394144	0.9999999528169572	-0.6641457941229518	0.16299787485742587	0.51471301085423	0.3739543197087313	0.7084541335128238	4.610000100659232e-5	0.44167428978053896	2.6532955873653077e-8	2.0284000442900624e-4	1.9457500974012258e-7	Post-translational modification and protein turnover	Stronger in Fusarium	-0.9581598436084448	Protein turnover	-0.9581598436084449	-1.4190660460436513	-0.49725364117323867	Fusarium
Repressed	Z	35	1219	139	6920	22	1859	128	7011	2.871205906480722	1.183431952662722	1.590758056622854	0.01486019489990361	0.5701285731796044	0.9955600092707588	-1.026223962569222	0.30796275384300786	0.3583575806063995	0.19596269684168077	0.6553295991931739	8.613167750047284e-4	0.4052529228689664	9.145626645970134e-4	0.00315816150835067	0.00402407572422685	Cytoskeleton	Stronger in Fusarium	-1.480528221640038	Cytoskeleton	-1.480528221640038	-2.351349043625757	-0.6097073996543184	Fusarium
Repressed	I	69	1219	325	6920	53	1859	277	7011	5.660377358490566	2.8509951586874664	1.2761231732824725	0.04905576771071734	0.6456424720603066	0.998643916020524	-0.6814002411974643	0.20866490314934497	0.5059081028055522	0.3360875957461734	0.7615366104663126	0.0010926176078889	0.4892198978441444	1.3885568994210484e-4	0.00343394105336511	7.637062946815766e-4	Lipid transport and metabolism	Stronger in Fusarium	-0.9830527488361254	Lipid metabolism	-0.9830527488361254	-1.5730907979591515	-0.3930146997130992	Fusarium
Repressed	U	76	1219	448	6920	80	1859	460	7011	6.234618539786711	4.303388918773535	0.9524978104426234	0.6658382062112921	0.564757585211214	0.9999993190969092	-0.5227772270125252	0.1811404334640757	0.5928717200893178	0.4156912521517238	0.8455719832020254	0.00390131533307787	0.676419328104756	0.0185967768305916	0.01072861716596416	0.06152375660496804	Intracellular trafficking and secretion	Stronger in Fusarium	-0.7542081129006538	Intracellular trafficking	-0.7542081129006538	-1.2664157068243285	-0.24200051897697927	Fusarium
