species	significant_de_genes	significant_secreted_genes	significant_nonsecreted_genes	significant_high_confidence_cazymes	significant_secreted_cazymes	significant_nonsecreted_cazymes	significant_secreted_non_cazymes	significant_nonsecreted_non_cazymes	secreted_fraction_of_significant_de	cazyme_fraction_of_significant_de	secreted_cazyme_fraction_of_significant_de	secreted_fraction_of_significant_cazymes	cazyme_fraction_of_significant_secreted	input_file
Fusarium	2973	346	2627	142	72	70	274	2557	0.1163807601749075	0.047763202152707705	0.024217961654894045	0.5070422535211268	0.20809248554913296	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/publication_annotation/tables/fusarium_publication_annotation_full.tsv
Ophiostoma	4938	369	4569	206	85	121	284	4448	0.07472660996354799	0.04171729445119481	0.017213446739570676	0.41262135922330095	0.23035230352303523	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/cazyme_analysis/tables/interaction_vs_onu_all_genes_with_dbcan.tsv
