organism	direction	genes	median_lfc	median_abs_lfc	q25_abs_lfc	q75_abs_lfc	percent_abs_lfc_gt_1
Fusarium	Downregulated	1423	-0.242194522636981	0.242194522636981	0.173984328884073	0.3653109481064945	1.8271257905832747
Fusarium	Upregulated	1550	0.277277584034527	0.277277584034527	0.18217086860168874	0.4355357395986425	5.032258064516129
Ophiostoma	Downregulated	2709	-0.657185457690091	0.657185457690091	0.417945370330206	1.07117627457824	27.464008859357698
Ophiostoma	Upregulated	2529	0.631099391647392	0.631099391647392	0.425073068382387	0.992008399321734	24.634242783708977
