gene_id	149	150	151	152	153	154	155	156	157
gene_1	403	361	342	613	491	1363	2888	2530	3518
gene_2	99	107	66	139	87	308	656	438	724
gene_3	320	255	231	320	238	687	1667	1476	2019
gene_4	20	16	23	44	30	147	224	222	266
gene_5	44	51	33	57	51	101	307	230	338
gene_6	9403	8220	7481	8904	6976	19876	22445	19357	30444
gene_7	37	45	37	9	6	37	133	100	119
gene_8	868	821	713	545	411	1080	2446	2296	3051
gene_9	63	41	48	53	36	128	164	172	201
gene_10	168	147	99	89	80	212	468	415	642
gene_11	151	147	138	191	146	486	905	864	1374
gene_12	31	26	34	22	21	52	190	176	251
gene_13	82	89	87	93	92	271	734	710	1069
gene_14	599	518	410	828	752	2215	3008	3022	4272
gene_15	50	40	49	73	79	195	297	298	368
gene_16	0	0	2	0	0	0	0	1	6
gene_17	5555	4933	4595	3473	2831	6407	9713	9642	12351
gene_18	1099	1089	964	2147	1688	4058	2350	2257	3245
gene_19	1850	1915	1677	1376	1080	2194	3534	4268	5562
gene_20	3007	2739	2627	2768	2511	5516	8916	9729	12002
gene_21	1305	1218	1174	1096	989	1606	3178	4335	4597
gene_22	1584	1486	1360	1709	1425	2944	2956	3199	4989
gene_23	573	536	464	984	744	1873	2587	2874	4287
gene_24	2173	1976	1849	1070	906	1884	3907	4475	5838
gene_25	2	2	4	3	1	7	10	23	12
gene_26	3029	2781	2849	1913	1626	2663	5262	6885	7635
gene_27	1763	1624	1617	2612	2094	3571	3532	4762	5928
gene_28	884	815	794	1309	1079	2694	3673	3741	4939
gene_29	0	0	0	0	2	0	1	7	3
gene_30	1964	1897	1603	1449	1194	2567	2933	3181	4921
gene_31	2240	2279	2098	1932	1574	2718	5072	6740	8154
gene_32	66	85	52	148	138	279	441	382	493
gene_33	627	480	448	1575	1278	2948	3129	3182	4112
gene_34	1781	1725	1516	1456	1090	2702	3910	4360	6256
gene_35	17	14	10	3	3	3	9	16	10
gene_36	1700	1584	1397	1352	989	2665	4432	3982	5327
gene_37	1059	982	918	1648	1337	2814	3089	3272	4113
gene_38	627	519	447	1021	758	2023	2173	2168	2711
gene_39	610	581	561	637	517	887	1330	1691	2027
gene_40	590	557	564	520	416	730	1082	1509	1739
gene_41	467	421	387	467	326	792	1073	1124	1513
gene_42	446	465	443	961	679	1563	1487	1621	1999
gene_43	143	116	111	160	112	344	571	489	802
gene_44	2875	2907	2775	2566	2058	3823	5417	6968	8475
gene_45	963	864	883	955	862	1516	2103	2463	3087
gene_46	2699	2290	2573	1403	1284	2133	4898	7159	6404
gene_47	545	496	457	384	305	856	1097	977	1534
gene_48	932	895	767	761	627	1265	1745	2192	2552
gene_49	2442	2554	2269	1054	918	1513	3120	4270	5646
gene_50	2151	1922	1683	1049	972	2091	3232	3546	6366
gene_51	471	456	442	278	271	555	925	1001	1140
gene_52	283	223	206	200	127	262	622	644	826
gene_53	3851	3674	3252	2176	1863	3739	4763	5935	8862
gene_54	3766	3063	3007	2260	1662	4060	6519	6988	10208
gene_55	311	303	280	279	235	312	473	624	717
gene_56	498	497	488	208	192	350	717	849	1180
gene_57	300	318	294	366	298	452	646	844	931
gene_58	261	298	276	366	279	527	705	779	934
gene_59	70	57	75	127	93	126	152	250	260
gene_60	232	282	294	297	230	257	390	648	566
gene_61	622	671	716	528	412	527	949	1347	1530
gene_62	64	73	62	71	54	70	179	186	174
gene_63	166	148	124	25	16	38	106	137	140
gene_64	7	0	3	0	1	4	8	8	9
gene_65	2663	2814	2723	2241	2020	3272	4292	4862	6489
gene_66	3190	3222	3268	2546	2072	3453	4645	6062	7959
gene_67	13	8	12	4	6	13	24	29	35
gene_68	0	0	0	1	0	1	0	0	1
gene_69	397	444	416	474	334	500	640	1004	994
gene_70	684	785	712	806	705	1158	976	1369	1391
gene_71	1179	1096	991	633	509	933	1558	1886	2551
gene_72	92	79	65	133	101	197	276	269	322
gene_73	6538	6317	5600	3206	2444	5273	6583	7311	10383
gene_74	186	179	177	187	136	199	328	439	575
gene_75	132	104	110	133	123	199	262	361	462
gene_76	1149	1050	955	918	715	1441	2628	3007	4478
gene_77	866	873	913	178	181	254	772	919	1300
gene_78	214	221	266	185	199	238	228	430	443
gene_79	221	236	224	278	234	471	495	745	845
gene_80	1763	1677	1569	1298	1102	1687	2213	3269	4268
gene_81	1444	1416	1404	671	587	890	1888	2365	3024
gene_82	830	807	739	580	534	800	885	1319	1552
gene_83	703	697	699	798	673	964	1003	1368	1533
gene_84	551	561	507	421	332	461	903	1218	1481
gene_85	830	767	778	429	309	545	1361	1832	1898
gene_86	0	3	1	1	2	5	9	4	16
gene_87	256	261	279	334	314	490	574	713	899
gene_88	336	320	286	214	169	265	587	641	686
gene_89	291	335	288	351	324	480	427	748	843
gene_90	411	421	409	674	566	1347	1485	1627	2026
gene_91	486	475	489	622	518	830	1101	1420	1788
gene_92	808	763	714	611	569	813	836	1081	1527
gene_93	940	942	896	2929	2310	3819	581	756	911
gene_94	114	106	121	17	15	25	35	48	39
gene_95	223	246	232	548	524	592	140	195	209
gene_96	187	210	127	77	77	215	397	431	452
gene_97	8396	9458	10354	1033	1039	799	6466	13351	9810
gene_98	206	243	203	355	314	309	197	340	393
gene_99	34	24	22	34	23	86	64	59	105
gene_100	1453	1398	1268	1462	1190	2623	3412	3583	4974
