organism	p05	q25	median	q75	p95	p99	maximum	significant_genes	box_y	rain_y
Fusarium	0.1213185109195624	0.176894948954844	0.257747106911636	0.398797546647178	0.8501652396552525	1.6792444735479435	3.41628085244577	2973	1.27	0.5
Ophiostoma	0.22259072412950393	0.37223145877402153	0.573855321754985	0.9291228635633192	1.99705986351861	3.654339167158473	9.82194853046034	4938	1.48	0.78
