cazyme_family	cazyme_class	high_confidence_genes	significant_genes	significant_up	significant_down	strong_raw_lfc_genes	strong_shrunk_lfc_genes
GH67	GH	1	0	0	0	0	0
GH74	GH	1	0	0	0	0	0
GH81	GH	1	0	0	0	0	0
GH88	GH	1	0	0	0	0	0
GH92	GH	1	0	0	0	0	0
GT21	GT	1	0	0	0	0	0
GT24	GT	1	0	0	0	0	0
GT33	GT	1	0	0	0	0	0
GT35	GT	1	0	0	0	0	0
GT66	GT	1	0	0	0	0	0
GT76	GT	1	0	0	0	0	0
PL1_7	PL	1	0	0	0	0	0
PL42	PL	1	0	0	0	0	0
PL9_3	PL	1	0	0	0	0	0
