response_group	column	odds_ratio	padj	significant	log2_or	display_value	label
Complex spatial response	A	0.7286047507566531	0.1801312858893649	FALSE	-0.4567916929020297	NA	
Complex spatial response	B	0.4363337897591612	0.01131774235053174	TRUE	-1.1964958943098114	-1.1964958943098114	-1.20
Complex spatial response	CAZyme	1.668737435648782	6.834926814417852e-4	TRUE	0.7387569744209056	0.7387569744209056	0.74
Complex spatial response	E	1.4606633175824266	0.00918888458382868	TRUE	0.5466236757251236	0.5466236757251236	0.55
Complex spatial response	G	1.3808629850689875	0.0314145406214614	TRUE	0.46557017653439253	0.46557017653439253	0.47
Complex spatial response	I	1.7019591457879826	0.0025059040292986	TRUE	0.7671964066616677	0.7671964066616677	0.77
Complex spatial response	J	0.4505607599682964	1.7842114871495782e-5	TRUE	-1.1502064223798416	-1.1502064223798416	-1.15
Complex spatial response	L	0.6499004984376543	0.05060990119530791	FALSE	-0.6217092404370061	NA	
Complex spatial response	Q	1.433544172153093	0.03249080053367369	TRUE	0.5195863593844258	0.5195863593844258	0.52
Complex spatial response	Secreted	1.5488791775658737	9.374332855853192e-5	TRUE	0.631224609121021	0.631224609121021	0.63
Non-contact-region specific	A	1.8946743598933724	0.00136137359299654	TRUE	0.9219499118596163	0.9219499118596163	0.92
Non-contact-region specific	B	1.2266045315046727	0.6684143840373131	FALSE	0.2946701859194198	NA	
Non-contact-region specific	CAZyme	0.6724037232249969	0.0377589784126065	TRUE	-0.572600381819279	-0.572600381819279	-0.57
Non-contact-region specific	E	0.6695345792714945	0.05138809445406337	FALSE	-0.578769526932666	NA	
Non-contact-region specific	G	0.5803891170429739	0.00408417105308848	TRUE	-0.7849076274043705	-0.7849076274043705	-0.78
Non-contact-region specific	I	0.8564841538055832	0.6684143840373131	FALSE	-0.22350154027404098	NA	
Non-contact-region specific	J	1.4787520779339471	0.05349597628205176	FALSE	0.5643801958332934	NA	
Non-contact-region specific	L	1.9665080047375176	0.00136137359299654	TRUE	0.9756360588318617	0.9756360588318617	0.98
Non-contact-region specific	Q	0.776973919940515	0.3643723658729436	FALSE	-0.3640619212272878	NA	
Non-contact-region specific	Secreted	0.7147396288792651	0.02362324788827797	TRUE	-0.4845103138861925	-0.4845103138861925	-0.48
Plate-wide confrontation response	A	0.4567465043144005	0.04930945295199555	TRUE	-1.1305344075837562	-1.1305344075837562	-1.13
Plate-wide confrontation response	B	1.7823499531056857	0.21039173451330595	FALSE	0.8337806286905368	NA	
Plate-wide confrontation response	CAZyme	0.5601332633221742	0.0160820408100111	TRUE	-0.8361579901067943	-0.8361579901067943	-0.84
Plate-wide confrontation response	E	1.0573385201629149	0.8827802407372928	FALSE	0.08043734755430489	NA	
Plate-wide confrontation response	G	0.6770883321359349	0.21039173451330595	FALSE	-0.5625840365353816	NA	
Plate-wide confrontation response	I	0.8840029359334797	0.8827802407372928	FALSE	-0.17787693381178918	NA	
Plate-wide confrontation response	J	1.2813305664609465	0.6888954987308302	FALSE	0.3576427200751733	NA	
Plate-wide confrontation response	L	1.0984067945174631	0.8827802407372928	FALSE	0.1354124548386667	NA	
Plate-wide confrontation response	Q	0.9746904276466228	1	FALSE	-0.03698401901687697	NA	
Plate-wide confrontation response	Secreted	0.8019701539226745	0.1978730812906379	FALSE	-0.31837954846773325	NA	
Reaction-zone specific	A	1.1157234265603448	0.8090592880228757	FALSE	0.15797944600168723	NA	
Reaction-zone specific	B	1.1368611428942843	0.8938292484743615	FALSE	0.18505605309432344	NA	
Reaction-zone specific	CAZyme	1.0184493401875334	0.8824059572230898	FALSE	0.026374219402544294	NA	
Reaction-zone specific	E	0.8358110035596833	0.48544886826142586	FALSE	-0.2587513428356907	NA	
Reaction-zone specific	G	1.2727295461036985	0.3977256665850475	FALSE	0.34792588039499467	NA	
Reaction-zone specific	I	0.6281563952900143	0.15852120559894955	FALSE	-0.6708042959316408	NA	
Reaction-zone specific	J	1.2304381178519417	0.48544886826142586	FALSE	0.2991721024827193	NA	
Reaction-zone specific	L	0.7367704948040085	0.466730243817733	FALSE	-0.44071280741612023	NA	
Reaction-zone specific	Q	0.8106839434402137	0.48544886826142586	FALSE	-0.3027885258254436	NA	
Reaction-zone specific	Secreted	0.8927664624868713	0.34088038055664616	FALSE	-0.16364526273892588	NA	
