organism	contrast_id	contrast_label	story	source_file	tested_genes	significant_genes	significant_percent	significant_down	significant_up	median_signed_lfc_significant	median_abs_lfc_significant	q25_abs_lfc_significant	q75_abs_lfc_significant	proportion_significant_abs_lfc_gt_1
Fusarium	interaction_vs_self	Interaction vs control	Cross-species confrontation	/home/alex/dual-rnaseq-elm-fungi/results/fusarium/deseq2_results/fusarium_interaction_vs_self_lfcshrunk.tsv	9000	2973	33.03333333333333	1423	1550	0.115424298471158	0.257747106911636	0.176894948954844	0.398797546647178	0.03498150016818029
Ophiostoma	interaction_vs_outside	Interaction vs outside	Ophiostoma spatial response	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_onu_all_genes.tsv	8560	4938	57.68691588785047	2351	2587	0.2138261716570145	0.573854874901486	0.37223166672722124	0.9291229011082135	0.21911705143782909
Ophiostoma	interaction_vs_self	Interaction vs control	Cross-species confrontation	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/interaction_vs_self_all_genes.tsv	8560	5238	61.191588785046726	2709	2529	-0.22318978633903552	0.6452587545747219	0.42095898424898304	1.0291950369335852	0.2609774723176785
Ophiostoma	outside_vs_self	Outside vs control	Ophiostoma spatial response	/home/alex/dual-rnaseq-elm-fungi/results/ophiostoma/deseq2_results/tables/onu_vs_self_all_genes.tsv	8560	4477	52.30140186915888	2189	2288	0.210368967261017	0.544980157994969	0.365104698881344	0.852905148430829	0.1833817288362743
