organism	direction	cog	foreground_hits	foreground_size	foreground_percent	background_hits	background_size	background_percent	enrichment_ratio	odds_ratio	pvalue	padj	cog_name
Fusarium	Induced	G	130	1213	10.717230008244023	570	6920	8.236994219653178	1.301109327316643	1.4368126519339086	4.729555052062959e-4	0.011350932124951103	Carbohydrate transport and metabolism
Fusarium	Induced	P	71	1213	5.85325638911789	305	6920	4.407514450867052	1.328017515170354	1.4540360139985025	0.005434739183050087	0.06521687019660105	Inorganic-ion transport and metabolism
Fusarium	Induced	M	32	1213	2.6380873866446826	134	6920	1.9364161849710984	1.362355575789642	1.488835429827697	0.03670663976816324	0.1680749503885827	Cell wall, membrane and envelope biogenesis
Fusarium	Induced	I	70	1213	5.7708161582852435	325	6920	4.696531791907514	1.2287399327795043	1.3093295611023277	0.0328943702753994	0.1680749503885827	Lipid transport and metabolism
Fusarium	Induced	T	81	1213	6.677658697444353	385	6920	5.563583815028902	1.2002441087354525	1.2716971076576382	0.03849703092785187	0.1680749503885827	Signal-transduction mechanisms
Fusarium	Induced	K	97	1213	7.9967023907666945	471	6920	6.80635838150289	1.1748870603844062	1.2393476349335109	0.042018737597145674	0.1680749503885827	Transcription
Fusarium	Induced	S	511	1213	42.126957955482276	2776	6920	40.115606936416185	1.0501388654608694	1.1061635923416386	0.06180705451722155	0.21190990120190245	Function unknown
Fusarium	Induced	V	14	1213	1.1541632316570487	65	6920	0.9393063583815029	1.228739932779504	1.2948821627228229	0.239295827430031	0.5769223410992533	Defense mechanisms
Fusarium	Induced	Q	95	1213	7.831821929101402	503	6920	7.26878612716763	1.0774593985960577	1.1036136715399465	0.2190522840784317	0.5769223410992533	Secondary-metabolite biosynthesis and transport
Fusarium	Induced	O	120	1213	9.892827699917559	645	6920	9.320809248554914	1.061370041603558	1.0836758750874826	0.24038430879135558	0.5769223410992533	Post-translational modification and protein turnover
Fusarium	Induced	B	30	1213	2.4732069249793898	163	6920	2.3554913294797686	1.0499749644697778	1.062801980338604	0.41524856505651936	0.905996869214224	Chromatin structure and dynamics
Fusarium	Induced	N	1	1213	0.08244023083264633	5	6920	0.07225433526011561	1.140972794723825	1.1762990834132456	0.6186046146598201	0.9999999999999747	Cell motility
Fusarium	Induced	C	66	1213	5.441055234954658	382	6920	5.520231213872832	0.9856571263321003	0.9816635583249858	0.5750672182684398	0.9999999999999747	Energy production and conversion
Fusarium	Induced	A	49	1213	4.03957131079967	306	6920	4.421965317919075	0.9135239696318208	0.8927164346666798	0.7836348836870773	0.9999999999999747	RNA processing and modification
Fusarium	Induced	E	80	1213	6.595218466611707	515	6920	7.442196531791907	0.8861924619214177	0.8557683440767786	0.9042527427640128	0.9999999999999747	Amino-acid transport and metabolism
Fusarium	Induced	L	38	1213	3.1327287716405605	268	6920	3.8728323699421967	0.8088986231251	0.7701530900325657	0.9428579314009804	0.9999999999999747	Replication, recombination and repair
Fusarium	Induced	H	29	1213	2.390766694146744	205	6920	2.96242774566474	0.8070295377314861	0.7697567881379402	0.9202139105347135	0.9999999999999747	Coenzyme transport and metabolism
Fusarium	Induced	F	16	1213	1.3190436933223413	117	6920	1.6907514450867052	0.780152338272701	0.7419519026011036	0.8933101397052402	0.9999999999999747	Nucleotide transport and metabolism
Fusarium	Induced	U	54	1213	4.451772464962902	448	6920	6.473988439306359	0.6876398539630196	0.6283281372327632	0.9995969950168038	0.9999999999999747	Intracellular trafficking and secretion
Fusarium	Induced	W	1	1213	0.08244023083264633	10	6920	0.14450867052023122	0.5704863973619125	0.5224123717873942	0.854649373984696	0.9999999999999747	Extracellular structures
Fusarium	Induced	Z	14	1213	1.1541632316570487	139	6920	2.008670520231214	0.5745906160479696	0.521467004676218	0.9953500976810538	0.9999999999999747	Cytoskeleton
Fusarium	Induced	D	14	1213	1.1541632316570487	158	6920	2.2832369942196533	0.5054942761434669	0.45112888865302236	0.9994090045939293	0.9999999999999747	Cell-cycle control and chromosome partitioning
Fusarium	Induced	J	18	1213	1.4839241549876339	366	6920	5.289017341040463	0.280567080669793	0.23198667830120295	0.9999999999999747	0.9999999999999747	Translation and ribosome biogenesis
Fusarium	Induced	Y	1	1213	0.08244023083264633	27	6920	0.3901734104046243	0.21129125828218986	0.1803052700115223	0.9945618313895777	0.9999999999999747	Nuclear structure
Fusarium	Repressed	J	145	1219	11.894995898277276	366	6920	5.289017341040463	2.248999224483026	3.346954926668683	1.1994590111375792e-24	2.87870162673019e-23	Translation and ribosome biogenesis
Fusarium	Repressed	C	104	1219	8.531583264971289	382	6920	5.520231213872832	1.5455119422408723	1.8192726674491186	1.027515129208786e-6	1.2330181550505433e-5	Energy production and conversion
Fusarium	Repressed	E	119	1219	9.762100082034454	515	6920	7.442196531791907	1.3117229624791926	1.4491667633960994	5.929408162054414e-4	0.004743526529643531	Amino-acid transport and metabolism
Fusarium	Repressed	H	52	1219	4.265791632485644	205	6920	2.96242774566474	1.439964785209788	1.6156291279406982	0.002970036465800749	0.017820218794804492	Coenzyme transport and metabolism
Fusarium	Repressed	Z	35	1219	2.871205906480722	139	6920	2.008670520231214	1.4294061059601866	1.5907580566228539	0.014860194899903612	0.07132893551953734	Cytoskeleton
Fusarium	Repressed	W	5	1219	0.41017227235438886	10	6920	0.14450867052023122	2.8383921246923705	4.690448998995117	0.01941546722965554	0.07766186891862216	Extracellular structures
Fusarium	Repressed	I	69	1219	5.660377358490566	325	6920	4.696531791907514	1.20522496371553	1.2761231732824787	0.049055767710717346	0.16819120357960232	Lipid transport and metabolism
Fusarium	Repressed	F	27	1219	2.2149302707136997	117	6920	1.6907514450867052	1.310027134473402	1.4120845429009223	0.0780247182154374	0.2340741546463122	Nucleotide transport and metabolism
Fusarium	Repressed	P	62	1219	5.086136177194422	305	6920	4.407514450867052	1.1539692572519802	1.2035752678291232	0.11717879074517203	0.3124767753204587	Inorganic-ion transport and metabolism
Fusarium	Repressed	L	54	1219	4.4298605414273995	268	6920	3.8728323699421967	1.1438296621894628	1.1884023644361497	0.15191711279758302	0.3646010707141992	Replication, recombination and repair
Fusarium	Repressed	Y	6	1219	0.4922067268252666	27	6920	0.3901734104046243	1.261507610974387	1.3378244055074422	0.33628977228061957	0.6558837036647619	Nuclear structure
Fusarium	Repressed	D	30	1219	2.4610336341263332	158	6920	2.2832369942196533	1.0778704270983688	1.0985532983635782	0.35527033948507936	0.6558837036647619	Cell-cycle control and chromosome partitioning
Fusarium	Repressed	O	118	1219	9.680065627563577	645	6920	9.320809248554914	1.0385434750812395	1.0522278051821545	0.3340150486206411	0.6558837036647619	Post-translational modification and protein turnover
Fusarium	Repressed	Q	90	1219	7.383100902378999	503	6920	7.26878612716763	1.0157268040648644	1.0206790117470306	0.4523739725276878	0.7754982386188933	Secondary-metabolite biosynthesis and transport
Fusarium	Repressed	G	101	1219	8.285479901558654	570	6920	8.236994219653178	1.0058863319085245	1.0077992954658355	0.49169872802499826	0.7780288341672765	Carbohydrate transport and metabolism
Fusarium	Repressed	A	54	1219	4.4298605414273995	306	6920	4.421965317919075	1.001785455773778	1.0022682361166522	0.5186858894448511	0.7780288341672765	RNA processing and modification
Fusarium	Repressed	N	1	1219	0.08203445447087777	5	6920	0.07225433526011561	1.1353568498769484	1.169272422736214	0.620605985482034	0.8761496265628717	Cell motility
Fusarium	Repressed	U	76	1219	6.234618539786711	448	6920	6.473988439306359	0.9630258994491973	0.9524978104426256	0.665838206211292	0.8877842749483893	Intracellular trafficking and secretion
Fusarium	Repressed	T	61	1219	5.004101722723544	385	6920	5.563583815028902	0.899438543409011	0.8742280518917251	0.8433212569239554	0.9404305474196925	Signal-transduction mechanisms
Fusarium	Repressed	M	20	1219	1.6406890894175554	134	6920	1.9364161849710984	0.8472812312514539	0.817517384770027	0.8258047189763471	0.9404305474196925	Cell wall, membrane and envelope biogenesis
Fusarium	Repressed	B	24	1219	1.9688269073010665	163	6920	2.3554913294797686	0.8358455336517412	0.8036611736261032	0.8620613351347182	0.9404305474196925	Chromatin structure and dynamics
Fusarium	Repressed	V	9	1219	0.7383100902379	65	6920	0.9393063583815029	0.7860162806840412	0.7498087158175469	0.8324515872662408	0.9404305474196925	Defense mechanisms
Fusarium	Repressed	S	397	1219	32.56767842493847	2776	6920	40.115606936416185	0.8118455860971694	0.6744495573171155	0.9999999991010913	0.9999999991010913	Function unknown
Fusarium	Repressed	K	58	1219	4.7579983593109105	471	6920	6.80635838150289	0.6990519882469534	0.6396891260430002	0.9995467632986597	0.9999999991010913	Transcription
Ophiostoma	Induced	I	130	2220	5.8558558558558556	277	7011	3.950934246184567	1.4821445994731193	1.9649032782107043	4.4657558419971264e-8	1.0717814020793104e-6	Lipid transport and metabolism
Ophiostoma	Induced	C	127	2220	5.7207207207207205	284	7011	4.050777349878762	1.4122525694708794	1.7907233519354355	1.7362462810001593e-6	2.083495537200191e-5	Energy production and conversion
Ophiostoma	Induced	O	199	2220	8.963963963963964	498	7011	7.103123662815576	1.2619749267339628	1.4792313978000815	3.0392414191711497e-5	2.4313931353369197e-4	Post-translational modification and protein turnover
Ophiostoma	Induced	Z	58	2220	2.6126126126126126	128	7011	1.8257024675509912	1.4310177364864864	1.809024454226603	7.57909232418112e-4	0.003864892905662106	Cytoskeleton
Ophiostoma	Induced	U	177	2220	7.972972972972973	460	7011	6.561118242761375	1.2151850763807286	1.3800439346674451	8.051860220129388e-4	0.003864892905662106	Intracellular trafficking and secretion
Ophiostoma	Induced	M	32	2220	1.4414414414414414	72	7011	1.0269576379974326	1.4036036036036037	1.7369877428283709	0.015014379636535895	0.05937616638600344	Cell wall, membrane and envelope biogenesis
Ophiostoma	Induced	F	41	2220	1.8468468468468469	97	7011	1.3835401511909855	1.3348704374477571	1.5908570309515881	0.017318048529251003	0.05937616638600344	Nucleotide transport and metabolism
Ophiostoma	Induced	Y	12	2220	0.5405405405405406	25	7011	0.356582513193553	1.515891891891892	1.997343541482032	0.06455674415744585	0.15979691774216132	Nuclear structure
Ophiostoma	Induced	H	81	2220	3.6486486486486487	221	7011	3.1521894166310083	1.1574966369084017	1.2579522446145468	0.062320338474537156	0.15979691774216132	Coenzyme transport and metabolism
Ophiostoma	Induced	E	166	2220	7.4774774774774775	476	7011	6.789331051205249	1.1013570292982058	1.1681688188078168	0.06658204905923389	0.15979691774216132	Amino-acid transport and metabolism
Ophiostoma	Induced	T	116	2220	5.225225225225225	329	7011	4.692625873627157	1.1134970837098497	1.1849248369311733	0.08546105550564198	0.1864604847395825	Signal-transduction mechanisms
Ophiostoma	Induced	V	15	2220	0.6756756756756757	36	7011	0.5134788189987163	1.3158783783783785	1.545100587169468	0.1334578934241239	0.2669157868482478	Defense mechanisms
Ophiostoma	Induced	G	156	2220	7.027027027027027	460	7011	6.561118242761375	1.0710105757931845	1.1155480487238487	0.15374743489359533	0.28384141826509907	Carbohydrate transport and metabolism
Ophiostoma	Induced	W	3	2220	0.13513513513513514	5	7011	0.0713165026387106	1.894864864864865	3.239583909687146	0.1857139503381402	0.3183667720082403	Extracellular structures
Ophiostoma	Induced	N	2	2220	0.09009009009009009	5	7011	0.0713165026387106	1.263243243243243	1.4390795049098248	0.50577773937976	0.809244383007616	Cell motility
Ophiostoma	Induced	Q	99	2220	4.45945945945946	328	7011	4.678362573099415	0.9532094594594596	0.9298583010581514	0.7413922853996961	0.99999999999758	Secondary-metabolite biosynthesis and transport
Ophiostoma	Induced	S	568	2220	25.585585585585587	1973	7011	28.141491941235202	0.9091765866221011	0.8286301161789359	0.9994884261032744	0.99999999999758	Function unknown
Ophiostoma	Induced	P	58	2220	2.6126126126126126	212	7011	3.0238197118813295	0.8640107088220296	0.8078162284662532	0.927039585241369	0.99999999999758	Inorganic-ion transport and metabolism
Ophiostoma	Induced	J	109	2220	4.90990990990991	398	7011	5.676793610041363	0.8649090044818689	0.8044025195133948	0.9751717468366439	0.99999999999758	Translation and ribosome biogenesis
Ophiostoma	Induced	D	44	2220	1.981981981981982	167	7011	2.381971188132934	0.8320763877650105	0.76739492299257694	0.9447586983873006	0.99999999999758	Cell-cycle control and chromosome partitioning
Ophiostoma	Induced	L	53	2220	2.3873873873873874	244	7011	3.4802453287690773	0.685982498892335	0.5890756751131996	0.9998276229543754	0.99999999999758	Replication, recombination and repair
Ophiostoma	Induced	K	71	2220	3.1981981981981984	329	7011	4.692625873627157	0.6815370081327529	0.5805217235175505	0.9999878597086931	0.99999999999758	Transcription
Ophiostoma	Induced	B	22	2220	0.990990990990991	136	7011	1.9398088717729283	0.5108704292527821	0.4106795726094227	0.9999895325299936	0.99999999999758	Chromatin structure and dynamics
Ophiostoma	Induced	A	44	2220	1.981981981981982	298	7011	4.250463557267151	0.4662978414656267	0.36122757051638515	0.99999999999758	0.99999999999758	RNA processing and modification
Ophiostoma	Repressed	S	589	1859	31.683700914470144	1973	7011	28.141491941235202	1.1258713994493166	1.2625786460183077	4.719075996771894e-5	0.0011325782392252546	Function unknown
Ophiostoma	Repressed	P	78	1859	4.195804195804196	212	7011	3.0238197118813295	1.3875841139992082	1.639919924432026	5.471023312055497e-4	0.006337555150446762	Inorganic-ion transport and metabolism
Ophiostoma	Repressed	K	113	1859	6.078536847767617	329	7011	4.692625873627157	1.2953380498388682	1.47886771313267	7.921943938058452e-4	0.006337555150446762	Transcription
Ophiostoma	Repressed	B	50	1859	2.6896180742334588	136	7011	1.9398088717729283	1.386537670474322	1.6280388008754871	0.005167791056044628	0.031006746336267765	Chromatin structure and dynamics
Ophiostoma	Repressed	Q	107	1859	5.755782678859602	328	7011	4.678362573099415	1.23029854760624	1.3626111923886342	0.006949181206224449	0.03335606978987735	Secondary-metabolite biosynthesis and transport
Ophiostoma	Repressed	G	144	1859	7.746100053792362	460	7011	6.561118242761375	1.1806066842856142	1.2849537932832389	0.01011617644430087	0.04046470577720348	Carbohydrate transport and metabolism
Ophiostoma	Repressed	A	92	1859	4.948897256589564	298	7011	4.250463557267151	1.1643194183204508	1.250069143443992	0.04860197795635278	0.16663535299320953	RNA processing and modification
Ophiostoma	Repressed	E	137	1859	7.369553523399677	476	7011	6.789331051205249	1.0854609191713265	1.129511865374823	0.13461432560206738	0.4038429768062021	Amino-acid transport and metabolism
Ophiostoma	Repressed	V	11	1859	0.591715976331361	36	7011	0.5134788189987163	1.1523668639053255	1.2207156548761002	0.34964444558006963	0.932385188213519	Defense mechanisms
Ophiostoma	Repressed	L	64	1859	3.4427111350188273	244	7011	3.4802453287690773	0.9892150724433195	0.9848563805662531	0.566038092234634	1	Replication, recombination and repair
Ophiostoma	Repressed	H	52	1859	2.797202797202797	221	7011	3.1521894166310083	0.8873841091035661	0.8485190308446822	0.8647801140143514	1	Coenzyme transport and metabolism
Ophiostoma	Repressed	F	22	1859	1.183431952662722	97	7011	1.3835401511909855	0.8553650948575613	0.8107287728365775	0.8357170621718166	1	Nucleotide transport and metabolism
Ophiostoma	Repressed	T	71	1859	3.8192576654115116	329	7011	4.692625873627157	0.8138849693677845	0.753291297326314	0.9852889403996274	1	Signal-transduction mechanisms
Ophiostoma	Repressed	D	35	1859	1.882732651963421	167	7011	2.381971188132934	0.7904094983781763	0.7297976459123696	0.9613187389043221	1	Cell-cycle control and chromosome partitioning
Ophiostoma	Repressed	M	15	1859	0.8068854222700377	72	7011	1.0269576379974326	0.7857046799354492	0.7271565635125804	0.8934572387629447	1	Cell wall, membrane and envelope biogenesis
Ophiostoma	Repressed	C	58	1859	3.1199569661108124	284	7011	4.050777349878762	0.770211911598694	0.7020019380961081	0.9937935960127169	1	Energy production and conversion
Ophiostoma	Repressed	J	78	1859	4.195804195804196	398	7011	5.676793610041363	0.7391151562005834	0.661334490603511	0.9996249360525785	1	Translation and ribosome biogenesis
Ophiostoma	Repressed	I	53	1859	2.8509951586874664	277	7011	3.950934246184567	0.7216002547854812	0.6456424720603037	0.9986439160205239	1	Lipid transport and metabolism
Ophiostoma	Repressed	Z	22	1859	1.183431952662722	128	7011	1.8257024675509912	0.6482063609467457	0.5701285731795988	0.9955600092707588	1	Cytoskeleton
Ophiostoma	Repressed	U	80	1859	4.303388918773535	460	7011	6.561118242761375	0.6558926023808967	0.5647575852112178	0.9999993190969091	1	Intracellular trafficking and secretion
Ophiostoma	Repressed	O	84	1859	4.518558364712211	498	7011	7.103123662815576	0.6361368011043637	0.5416376705394157	0.9999999528169573	1	Post-translational modification and protein turnover
Ophiostoma	Repressed	Y	2	1859	0.10758472296933835	25	7011	0.356582513193553	0.3017105970952125	0.24019671985636873	0.9955238962032296	1	Nuclear structure
Ophiostoma	Repressed	N	0	1859	0	5	7011	0.0713165026387106	0	0	1	1	Cell motility
Ophiostoma	Repressed	W	0	1859	0	5	7011	0.0713165026387106	0	0	1	1	Extracellular structures
